运行模式,场景编号,目标日产氨量(吨),日总成本(元),日增量成本(元),吨氨成本(元/吨),增量吨氨成本(元/吨),总用电量(MWh),新能源发电量(MWh),网购电量(MWh),上网电量(MWh),弃电量(MWh),E_self_supply_MWh,自用新能源电量(MWh),balance_gap_MWh,自发自用率,绿电用电比例,上网比例,自发自用率达标,绿电占比达标,2030绿电占比达标,上网比例达标,is_all_qualified,题面公式自用率,statement_green_load_ratio,statement_sell_ratio,合格情况
离散开停机,W1P1,72,390965.99163287674,352295.99463287677,5430.083217123288,4892.999925456622,1056.7199999999998,761.7639999999999,430.28,135.324,0.0,626.4399999999998,626.4399999999998,0.0,0.8223544299809389,0.5928155045802104,0.17764557001906106,是,是,是,是,是,0.6447088599618778,0.5928155045802104,0.17764557001906106,全满足
离散开停机,W1P1,63,284907.40353287675,246237.40653287675,4522.339738617091,3908.530262426615,932.22,761.7639999999999,326.6262,156.1702,0.0,605.5938000000001,605.5937999999999,2.2737367544323206e-13,0.7949887366690995,0.6496254103108706,0.20501126333090042,是,是,是,否,否,0.5899774733381994,0.6496254103108706,0.20501126333090042,部分满足
离散开停机,W1P1,54,201838.21053287672,163168.21353287672,3737.744639497717,3021.6335839421613,807.7199999999999,761.7639999999999,235.0722,189.11620000000002,0.0,572.6478,572.6477999999998,1.1368683772161603e-13,0.7517391213026605,0.708968206804338,0.2482608786973394,是,是,是,否,否,0.5034782426053213,0.708968206804338,0.2482608786973394,部分满足
离散开停机,W1P1,45,139353.33153287673,100683.33453287673,3096.740700730594,2237.407434063927,683.22,761.7639999999999,233.2102,311.7542,0.0,450.00980000000004,450.00979999999987,1.7053025658242404e-13,0.5907470030088058,0.6586601680278679,0.4092529969911942,否,是,是,否,否,0.1814940060176118,0.6586601680278679,0.4092529969911942,部分满足
离散开停机,W1P1,36,77295.78153287672,38625.78453287672,2147.105042579909,1072.9384592465756,558.72,761.7639999999999,233.2102,436.2542000000001,0.0,325.50980000000004,325.5097999999998,2.2737367544323206e-13,0.4273105581256135,0.5825991552119126,0.5726894418743865,否,是,是,否,否,-0.14537888374877267,0.5825991552119126,0.5726894418743865,部分满足
离散开停机,W1P2,72,489792.26853287674,451122.27153287677,6802.670396289955,6265.587104623289,1056.7199999999998,503.204,560.9662000000001,7.450200000000002,0.0,495.7537999999997,495.7538,-2.8421709430404007e-13,0.9851944738118139,0.4691439548792491,0.014805526188186108,是,是,是,是,是,0.9703889476236273,0.4691439548792491,0.014805526188186108,全满足
离散开停机,W1P2,63,380201.8404328767,341531.84343287675,6034.9498481409,5421.140371950424,932.22,503.204,448.9924,19.9764,0.0,483.22760000000005,483.2276,5.684341886080802e-14,0.9603015874277628,0.5183621891828109,0.03969841257223711,是,是,是,是,是,0.9206031748555259,0.5183621891828109,0.03969841257223711,全满足
离散开停机,W1P2,54,293754.4074328767,255084.4104328767,5439.896433942161,4723.785378386606,807.7199999999999,503.204,342.71840000000003,38.2024,0.0,465.0015999999999,465.0016,-1.1368683772161603e-13,0.9240816845653055,0.5756965284999753,0.07591831543469447,是,是,是,是,是,0.8481633691306107,0.5756965284999753,0.07591831543469447,全满足
离散开停机,W1P2,45,219799.55253287673,181129.55553287672,4884.434500730594,4025.101234063927,683.22,503.204,298.31819999999993,118.3022,0.0,384.9018000000001,384.9018,1.1368683772161603e-13,0.7649021072964444,0.5633643628699394,0.2350978927035556,是,是,是,否,否,0.529804214592889,0.5633643628699394,0.2350978927035556,部分满足
离散开停机,W1P2,36,148269.94053287667,109599.94353287667,4118.609459246574,3044.4428759132406,558.72,503.204,262.5022,206.98620000000003,0.0,296.2178,296.2178,0.0,0.588663444646704,0.5301721792668957,0.4113365553532961,否,是,是,否,否,0.17732688929340776,0.5301721792668957,0.4113365553532961,部分满足
离散开停机,W1P3,72,587763.4826328767,549093.4856328767,8163.381703234399,7626.298411567733,1056.7199999999998,337.44399999999996,719.2760000000001,0.0,0.0,337.44399999999973,337.44399999999996,-2.2737367544323206e-13,1.0,0.31933151639033996,0.0,是,是,否,是,是,0.9999999999999993,0.31933151639033996,0.0,全满足
离散开停机,W1P3,63,477358.01453287667,438688.0175328767,7577.111341791693,6963.301865601217,932.22,337.44399999999996,605.3822,10.606200000000015,0.0,326.8378,326.83779999999996,5.684341886080802e-14,0.9685690070056069,0.3506015747355774,0.03143099299439319,是,是,是,是,是,0.9371380140112137,0.3506015747355774,0.03143099299439319,全满足
离散开停机,W1P3,54,381730.07063287665,343060.0736328767,7069.075382090308,6352.964326534753,807.72,337.44399999999996,526.3,56.024,0.0,281.4200000000001,281.41999999999996,1.1368683772161603e-13,0.8339754151800002,0.34841281632248794,0.1660245848199998,是,是,否,是,是,0.6679508303600008,0.34841281632248794,0.1660245848199998,全满足
离散开停机,W1P3,45,292467.59063287673,253797.59363287673,6499.279791841705,5639.946525175038,683.22,337.44399999999996,426.5580000000001,80.78200000000001,0.0,256.6619999999999,256.6619999999999,0.0,0.7606062042887115,0.3756652322824272,0.23939379571128847,是,是,是,否,否,0.5212124085774229,0.3756652322824272,0.23939379571128847,部分满足
离散开停机,W1P3,36,208856.8154328767,170186.8184328767,5801.578206468797,4727.411623135464,558.72,337.44399999999996,345.89040000000006,124.61439999999999,0.0,212.82959999999997,212.82959999999997,0.0,0.6307108735079006,0.3809235395189003,0.36928912649209944,是,是,是,否,否,0.2614217470158011,0.3809235395189003,0.36928912649209944,部分满足
离散开停机,W1P4,72,627256.2186328768,588586.2216328768,8711.89192545662,8174.808633789955,1056.7199999999998,272.804,783.9159999999999,0.0,0.0,272.80399999999986,272.804,-1.1368683772161603e-13,1.0,0.2581611022787494,0.0,是,否,否,是,否,0.9999999999999996,0.2581611022787494,0.0,部分满足
离散开停机,W1P4,63,516307.3905328767,477637.39353287674,8195.355405283757,7581.545929093281,932.22,272.804,668.7422000000001,9.3262,0.0,263.4777999999999,263.4778,-1.1368683772161603e-13,0.9658135511209514,0.28263478578018064,0.034186448879048696,是,否,否,是,否,0.9316271022419024,0.28263478578018064,0.034186448879048696,部分满足
离散开停机,W1P4,54,410355.60663287673,371685.60963287676,7599.177900608828,6883.066845053273,807.72,272.804,565.34,30.424,0.0,242.38,242.37999999999997,2.842170943040401e-14,0.8884767085526605,0.3000792353785965,0.1115232914473395,是,是,否,是,是,0.7769534171053212,0.3000792353785965,0.1115232914473395,全满足
离散开停机,W1P4,45,316717.24653287674,278047.24953287677,7038.161034063927,6178.827767397262,683.22,272.804,472.82820000000004,62.4122,0.0,210.3918,210.3918,0.0,0.7712196302107007,0.3079415122508123,0.2287803697892993,是,是,否,否,否,0.5424392604214016,0.3079415122508123,0.2287803697892993,部分满足
离散开停机,W1P4,36,229052.59143287668,190382.59443287668,6362.571984246574,5288.4054009132415,558.72,272.804,361.2504,75.33439999999999,0.0,197.4696,197.46959999999999,2.842170943040401e-14,0.7238515564287914,0.35343213058419237,0.2761484435712086,是,是,是,否,否,0.44770311285758296,0.35343213058419237,0.2761484435712086,部分满足
离散开停机,W2P1,72,420187.3116328767,381517.3146328767,5835.934883789954,5298.851592123287,1056.7199999999998,658.904,487.428,89.61199999999998,0.0,569.2919999999998,569.292,-2.2737367544323206e-13,0.8639983973386108,0.5387349534408359,0.1360016026613892,是,是,是,是,是,0.7279967946772213,0.5387349534408359,0.1360016026613892,全满足
离散开停机,W2P1,63,312845.03553287673,274175.03853287676,4965.794214807567,4351.984738617091,932.22,658.904,380.75020000000006,107.43419999999998,0.0,551.4698,551.4698000000001,-1.1368683772161603e-13,0.8369501475176961,0.5915661539121667,0.16304985248230391,是,是,是,是,是,0.6739002950353922,0.5915661539121667,0.16304985248230391,全满足
离散开停机,W2P1,54,228721.5654328767,190051.5684328767,4235.584545053272,3519.4734894977164,807.7199999999999,658.904,284.6023999999999,135.7864,0.0,523.1176,523.1176,0.0,0.7939208139577238,0.647647204476799,0.20607918604227624,是,是,是,否,否,0.5878416279154476,0.647647204476799,0.20607918604227624,部分满足
离散开停机,W2P1,45,161765.10843287667,123095.11143287667,3594.7801873972594,2735.446920730593,683.22,658.904,263.25639999999987,238.94039999999998,0.0,419.96360000000016,419.96360000000004,1.1368683772161603e-13,0.6373669001857631,0.61468282544422,0.36263309981423697,是,是,是,否,否,0.27473380037152634,0.61468282544422,0.36263309981423697,部分满足
离散开停机,W2P1,36,99707.55843287663,61037.56143287663,2769.6544009132394,1695.4878175799065,558.72,658.904,263.2563999999997,363.4404,0.0,295.4636000000003,295.4636,3.410605131648481e-13,0.4484167648094411,0.5288223081328751,0.5515832351905589,否,是,是,否,否,-0.10316647038111726,0.5288223081328751,0.5515832351905589,部分满足
离散开停机,W2P2,72,530334.7026328767,491664.7056328767,7365.7597587899545,6828.676467123288,1056.7199999999998,400.34400000000005,656.376,0.0,0.0,400.3439999999998,400.34400000000005,-2.2737367544323206e-13,1.0,0.37885532591414955,0.0,是,是,是,是,是,0.9999999999999994,0.37885532591414955,0.0,全满足
离散开停机,W2P2,63,419460.58653287677,380790.5895328768,6658.104548140901,6044.295071950425,932.22,400.34400000000005,541.3782,9.5022,0.0,390.84180000000003,390.84180000000003,0.0,0.976264912175529,0.419259187745382,0.023735087824470952,是,是,是,是,是,0.952529824351058,0.419259187745382,0.023735087824470952,全满足
离散开停机,W2P2,54,330674.0436328767,292004.04663287674,6123.593400608828,5407.482345053273,807.72,400.34400000000005,424.91200000000003,17.536,0.0,382.808,382.80800000000005,-5.684341886080802e-14,0.9561976700037967,0.47393651265289954,0.04380232999620326,是,是,是,是,是,0.9123953400075931,0.47393651265289954,0.04380232999620326,全满足
离散开停机,W2P2,45,248728.39953287673,210058.40253287673,5527.297767397261,4667.964500730594,683.22,400.34400000000005,351.27419999999995,68.3982,0.0,331.9458000000001,331.9458000000001,0.0,0.8291514297703976,0.4858549222797928,0.17084857022960254,是,是,是,是,是,0.658302859540795,0.4858549222797928,0.17084857022960254,全满足
离散开停机,W2P2,36,172647.34053287667,133977.34353287666,4795.759459246574,3721.5928759132407,558.72,400.34400000000005,298.45219999999995,140.07620000000003,0.0,260.2678000000001,260.2678,5.684341886080802e-14,0.6501104050516555,0.46582867983963344,0.34988959494834443,是,是,是,否,否,0.30022081010331125,0.46582867983963344,0.34988959494834443,部分满足
离散开停机,W2P3,72,631468.5266328767,592798.5296328767,8770.396203234399,8233.312911567733,1056.7199999999998,234.584,822.136,0.0,0.0,234.58399999999983,234.584,-1.7053025658242404e-13,1.0,0.22199258081611029,0.0,是,否,否,是,否,0.9999999999999992,0.22199258081611029,0.0,部分满足
离散开停机,W2P3,63,519779.37053287675,481109.3735328768,8250.466198934551,7636.6567227440755,932.22,234.584,705.2182,7.5822,0.0,227.0018,227.0018,0.0,0.9676781025133854,0.24350668297183067,0.032321897486614605,是,否,否,是,否,0.9353562050267705,0.24350668297183067,0.032321897486614605,部分满足
离散开停机,W2P3,54,420066.9725328768,381396.97553287685,7779.018009868089,7062.906954312534,807.72,234.584,616.5142000000001,43.3782,0.0,191.20579999999995,191.2058,-5.684341886080802e-14,0.8150845752480987,0.23672287426335858,0.18491542475190123,是,否,否,是,否,0.6301691504961974,0.23672287426335858,0.18491542475190123,部分满足
离散开停机,W2P3,45,327868.1414328767,289198.1444328767,7285.9586985083715,6426.625431841705,683.22,234.584,526.4464,77.8104,0.0,156.7736,156.7736,0.0,0.6683047437165365,0.22946283773894205,0.33169525628346347,是,否,否,否,否,0.3366094874330731,0.22946283773894205,0.33169525628346347,部分满足
离散开停机,W2P3,36,239544.7754328767,200874.7784328767,6654.02153980213,5579.854956468796,558.72,234.584,411.99839999999995,87.86240000000002,0.0,146.72160000000008,146.72159999999997,1.1368683772161603e-13,0.6254544214439176,0.2626030927835051,0.37454557855608234,是,否,否,否,否,0.25090884288783566,0.2626030927835051,0.37454557855608234,部分满足
离散开停机,W2P4,72,670961.2626328768,632291.2656328768,9318.906425456622,8781.823133789956,1056.7199999999998,169.94400000000002,886.776,0.0,0.0,169.94399999999985,169.94400000000002,-1.7053025658242404e-13,1.0,0.16082216670451968,0.0,是,否,否,是,否,0.999999999999999,0.16082216670451968,0.0,部分满足
离散开停机,W2P4,63,557477.9997328767,518808.0027328767,8848.85713861709,8235.047662426614,932.22,169.94400000000002,765.6318,3.3558,0.0,166.58820000000003,166.58820000000003,0.0,0.9802534952690298,0.17870052133616532,0.0197465047309702,是,否,否,是,否,0.9605069905380594,0.17870052133616532,0.0197465047309702,部分满足
离散开停机,W2P4,54,447605.78853287676,408935.7915328768,8288.996083942162,7572.885028386607,807.72,169.94400000000002,652.9942,15.2182,0.0,154.72580000000005,154.72580000000002,2.842170943040401e-14,0.9104516781998776,0.1915587084633289,0.08954832180012239,是,否,否,是,否,0.8209033563997553,0.1915587084633289,0.08954832180012239,部分满足
离散开停机,W2P4,45,349973.3574328767,311303.36043287674,7777.185720730594,6917.852454063927,683.22,169.94400000000002,550.1264,36.8504,0.0,133.09360000000004,133.0936,2.842170943040401e-14,0.7831615120274914,0.19480343081291532,0.21683848797250857,是,否,否,否,否,0.5663230240549828,0.19480343081291532,0.21683848797250857,部分满足
离散开停机,W2P4,36,259793.38233287673,221123.38533287673,7216.48284257991,6142.316259246576,558.72,169.94400000000002,427.5886,38.812599999999996,0.0,131.13140000000004,131.1314,2.842170943040401e-14,0.7716153556465659,0.23469967067583047,0.22838464435343403,是,否,否,否,否,0.5432307112931322,0.23469967067583047,0.22838464435343403,部分满足
