场景编号,日产氨量(吨),delta_unit_cost,delta_buy,delta_sell,delta_R_self,delta_R_green,delta_R_sell
W1P1,72,0.0,0.0,0.0,0.0,0.0,0.0
W1P1,63,-67.29844285714171,-20.846199999999897,-20.846199999999982,0.027365693311839356,0.022361888824526388,-0.027365693311839356
W1P1,54,26.435500000000047,3.848000000000013,3.8479999999999848,-0.005051433252293291,-0.004764027138117188,0.005051433252293319
W1P1,45,41.21880000000101,5.710000000000036,5.709999999999809,-0.007495759841630534,-0.008357483680219935,0.007495759841630478
W1P1,36,51.52350000000024,5.710000000000036,5.709999999999809,-0.007495759841630478,-0.010219788087055814,0.007495759841630423
W1P2,72,0.0,0.0,0.0,0.0,0.0,0.0
W1P2,63,-84.40272857142827,-12.526200000000017,-12.5262,0.02489288638405107,0.013436956941494604,-0.024892886384051
W1P2,54,-199.50368333333154,-30.75219999999996,-30.752199999999995,0.061112789246508425,0.038072847026197065,-0.06111278924650837
W1P2,45,-275.7464666666674,-45.31799999999993,-45.317999999999955,0.09005890255244386,0.06633002546763844,-0.09005890255244384
W1P2,36,-81.57025000000021,-9.50200000000001,-9.501999999999981,0.018882997750415242,0.017006729667812026,-0.018882997750415298
W1P3,72,0.0,0.0,0.0,0.0,0.0,0.0
W1P3,63,-71.46558571428432,-10.606199999999944,-10.606200000000015,0.031430992994393114,0.011377357276179445,-0.03143099299439319
W1P3,54,-364.20850000000064,-56.024,-56.024,0.16602458481999982,0.06936066953894915,-0.1660245848199998
W1P3,45,-467.4462000000012,-80.78200000000015,-80.78200000000001,0.2393937957112885,0.1182371710430023,-0.23939379571128847
W1P3,36,-577.052775000001,-92.89020000000005,-92.89019999999998,0.2752758976304216,0.16625536941580749,-0.2752758976304216
W1P4,72,0.0,0.0,0.0,0.0,0.0,0.0
W1P4,63,-62.8408238095235,-9.326200000000085,-9.3262,0.03418644887904865,0.010004290832636042,-0.034186448879048696
W1P4,54,-239.1664444444441,-30.424000000000092,-30.424,0.11152329144733952,0.037666518100331836,-0.1115232914473395
W1P4,45,-304.7657533333331,-62.41220000000004,-62.4122,0.22878036978929928,0.0913500775738415,-0.2287803697892993
W1P4,36,-463.3362166666657,-75.33440000000007,-75.33439999999999,0.2761484435712086,0.13483390607101958,-0.2761484435712086
W2P1,72,0.0,0.0,0.0,0.0,0.0,0.0
W2P1,63,-47.46720476190421,-17.82220000000001,-17.822199999999995,0.027048249820914694,0.019118019351655136,-0.02704824982091472
W2P1,54,-13.507405555554215,-7.970199999999863,-7.970200000000091,0.012096147541978852,0.009867528351408916,-0.012096147541978935
W2P1,45,92.65571333333628,13.37580000000014,13.375799999999856,-0.020300074062382323,-0.019577588478088992,0.020300074062382156
W2P1,36,115.81964166666967,13.37580000000031,13.37579999999997,-0.020300074062382323,-0.023940077319587583,0.020300074062382323
W2P2,72,0.0,0.0,0.0,0.0,0.0,0.0
W2P2,63,-64.02672857142989,-9.502200000000016,-9.5022,0.02373508782447098,0.010193087468623296,-0.023735087824470952
W2P2,54,-180.08799999999883,-17.535999999999945,-17.536,0.04380232999620326,0.021710493735452918,-0.04380232999620326
W2P2,45,-369.13333333333503,-60.5619999999999,-60.561999999999976,0.1512749035829185,0.08864201867626825,-0.15127490358291862
W2P2,36,-71.87474999999995,-7.739999999999895,-7.739999999999952,0.019333373298962786,0.013853092783505216,-0.01933337329896273
W2P3,72,0.0,0.0,0.0,0.0,0.0,0.0
W2P3,63,-51.08958571428593,-7.582200000000057,-7.5822,0.032321897486614626,0.00813348780330822,-0.032321897486614605
W2P3,54,-339.3751277777819,-43.378200000000106,-43.3782,0.18491542475190126,0.053704501559946605,-0.18491542475190123
W2P3,45,-372.39390666666895,-77.81040000000019,-77.8104,0.3316952562834635,0.11388776675155893,-0.33169525628346347
W2P3,36,-529.5738833333326,-87.86239999999992,-87.86240000000002,0.3745455785560824,0.1572565864833907,-0.37454557855608234
W2P4,72,0.0,0.0,0.0,0.0,0.0,0.0
W2P4,63,-22.611699999999473,-3.3558000000000447,-3.3558,0.01974650473097017,0.003599794040033466,-0.0197465047309702
W2P4,54,-119.6319611111112,-15.21819999999991,-15.2182,0.0895483218001224,0.018840934977467444,-0.08954832180012239
W2P4,45,-137.84370666666655,-36.850400000000036,-36.8504,0.2168384879725086,0.05393636017680986,-0.21683848797250857
W2P4,36,-184.81365833333348,-38.81259999999992,-38.812599999999996,0.22838464435343409,0.06946699599083622,-0.22838464435343403
W3P1,72,0.0,0.0,0.0,0.0,0.0,0.0
W3P1,63,-122.20401428571404,-33.546199999999885,-33.54620000000001,0.04296168229086628,0.0359852824440583,-0.04296168229086628
W3P1,54,-27.668350000000373,-6.5101999999999975,-6.510200000000054,0.008337431484042979,0.008059971277175282,-0.008337431484042868
W3P1,45,1.3642420526593924e-12,0.0,-5.684341886080802e-14,1.1102230246251565e-16,2.220446049250313e-16,-5.551115123125783e-17
W3P1,36,0.0,0.0,0.0,0.0,2.220446049250313e-16,0.0
W3P2,72,0.0,0.0,0.0,0.0,0.0,0.0
W3P2,63,-151.0832047619042,-25.226199999999892,-25.226200000000006,0.048300145515815296,0.027060350561026292,-0.04830014551581528
W3P2,54,-270.20403888888904,-47.32979999999998,-47.329800000000006,0.09062150570575167,0.058596790967166856,-0.09062150570575173
W3P2,45,-238.66941999999835,-40.62419999999997,-40.6242000000001,0.07778241556253374,0.059459910424168205,-0.07778241556253371
W3P2,36,-62.73302500000045,-7.6942000000000235,-7.694199999999881,0.01473194455081539,0.013771119702176371,-0.014731944550815446
W3P3,72,0.0,0.0,0.0,0.0,0.0,0.0
W3P3,63,-157.0393952380964,-23.30619999999999,-23.306200000000004,0.06537136766520812,0.0250007508957113,-0.06537136766520812
W3P3,54,-450.4283333333342,-71.08400000000012,-71.084,0.19938292381914058,0.08800574456494825,-0.19938292381914058
W3P3,45,-596.2847999999994,-100.43000000000012,-100.43,0.28169527656232474,0.14699511138432725,-0.2816952765623247
W3P3,36,-687.798749999999,-107.88999999999999,-107.89000000000004,0.3026197688769213,0.1931020904925545,-0.30261976887692144
W3P4,72,0.0,0.0,0.0,0.0,0.0,0.0
W3P4,63,-112.7404619047611,-16.73180000000002,-16.7318,0.0573242428395232,0.017948338375061657,-0.057324242839523094
W3P4,54,-347.95007222222466,-44.26220000000012,-44.26220000000001,0.15164519665616005,0.05479894022681131,-0.15164519665616008
W3P4,45,-391.02822000000197,-76.67220000000009,-76.6722,0.2626839797176922,0.11222183191358576,-0.2626839797176922
W3P4,36,-611.8877999999986,-95.98239999999998,-95.98240000000001,0.32884198985884616,0.1717898052691867,-0.32884198985884616
W4P1,72,0.0,0.0,0.0,0.0,0.0,0.0
W4P1,63,-118.38214285714093,-17.829999999999927,-17.83000000000004,0.02033243473778812,0.01912638647529563,-0.020332434737788063
W4P1,54,2.397849999999835,0.5641999999999996,0.5641999999999143,-0.0006433852876643886,-0.0006985093844400492,0.0006433852876644996
W4P1,45,2.877420000001166,0.5641999999999996,0.5641999999999143,-0.0006433852876644996,-0.0008257954977898274,0.0006433852876644996
