推荐类型,设计场景,储能容量(MWh),储能功率(MW),储能时长(小时),日合成氨产量(吨),产量提升(吨/日),弃电减少量(MWh),储能日成本(元),新增吨氨储能成本(元/吨),解释
经济型最低边际成本,W4P1,150.0,37.5,4.0,56.13098118801251,9.644557091626965,168.18048972210465,29079.065171193648,3015.075227916788,新增吨氨储能成本最低，适合作为成本优先方案
最大日产量,W4P1,160.0,40.0,4.0,56.45064246517819,9.964218368792643,173.706,30960.804292237444,3107.198492277618,扫描范围内离网日产氨量最高
最大弃电削减,W4P1,160.0,40.0,4.0,56.45064246517819,9.964218368792643,173.706,30960.804292237444,3107.198492277618,扫描范围内弃电削减量最大
90%弃电削减最小容量,W4P1,140.0,35.0,4.0,55.48778562930227,9.001361532916725,156.93451047806877,27140.121360488447,3015.1129094460657,达到最大可削减弃电量90%所需的最小储能容量
