日产氨量(吨),折算年天数,全年合成氨产量(吨),全年总成本(元),全年增量成本(元),全年平均吨氨成本(元/吨),全年平均增量吨氨成本(元/吨),全满足天数,部分满足天数,全不满足天数,是否推荐
72,360,25920,187358379.3823356,173437180.46233562,7228.33253789875,6691.249246232084,270,90,0,
63,360,22680,149131418.85133561,135210219.93133563,6575.459384979525,5961.649908789049,210,150,0,
54,360,19440,116067265.10683562,102146066.18683563,5970.538328540927,5254.427272985372,210,150,0,
45,360,16200,86886681.86833562,72965482.94833562,5363.375423971334,4504.042157304668,15,345,0,
36,360,12960,59423502.70483561,45502303.784835614,4585.146813644723,3510.98023031139,0,360,0,成本最优
