场景编号,日合成氨产量(吨),平均产氨速率(吨/小时),弃电量(MWh),未满足负荷电量(MWh),最大弃电功率(MW),最大未满足功率(MW),产氨速率序列(吨/小时),弃电序列(MWh),未满足序列(MWh)
W4P1,46.48642409638555,1.936934337349398,173.706,0.5642000000000014,23.0822,0.5642000000000014,0.876593 0.938617 0.888593 1.38636 1.30813 1.55059 2.88693 3 3 3 3 3 3 3 3 3 3 2.73197 1.75214 0.527436 0.502265 0.3 0.331952 0.504853,0 0 0 0 0 0 0 7.0898 16.6862 22.492 15.8558 17.292 22.3762 23.0822 22.502 21.1398 5.19 0 0 8.88178e-16 0 0 0 0,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.5642 0 0
W4P2,39.648289156626504,1.652012048192771,9.740200000000009,0.5642000000000014,3.8821999999999974,0.5642000000000014,0.876593 0.938617 0.888593 1.38636 1.30813 1.55059 1.86909 1.89324 2.30936 2.59027 2.1568 2.53822 3 3 3 3 2.35735 1.66787 1.1507 0.527436 0.502265 0.3 0.331952 0.504853,0 0 0 0 0 0 0 0 0 0 0 0 1.8962 3.8822 2.022 1.9398 0 0 0 8.88178e-16 0 0 0 0,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.5642 0 0
W4P3,28.36974939759036,1.182072891566265,4.440892098500626e-15,0.5642000000000014,1.7763568394002505e-15,0.5642000000000014,0.876593 0.938617 0.888593 1.38636 1.30813 1.55059 1.86909 1.75444 1.75418 1.66496 0.907648 1.104 1.56406 1.6151 1.66569 1.79854 1.33952 1.20522 1.0119 0.527436 0.502265 0.3 0.331952 0.504853,0 0 0 0 0 0 0 0 0 0 0 1.77636e-15 0 0 0 0 0 0 1.77636e-15 8.88178e-16 0 0 0 0,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.5642 0 0
W4P4,23.69697831325301,0.9873740963855421,8.881784197001252e-16,0.5642000000000014,8.881784197001252e-16,0.5642000000000014,0.876593 0.938617 0.888593 1.38636 1.30813 1.55059 1.86909 1.66191 1.52286 1.29484 0.352467 0.363759 0.916352 1.15245 1.20304 1.38215 0.969398 0.973894 0.919373 0.527436 0.502265 0.3 0.331952 0.504853,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8.88178e-16 0 0 0 0,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.5642 0 0
W5P1,43.377527710843374,1.8073969879518073,158.64419999999998,8.881784197001252e-16,24.9422,8.881784197001252e-16,0.607677 0.8964 1.05486 0.890747 1.00943 0.917046 2.1276 2.30297 3 3 3 3 3 3 3 3 3 2.1363 1.21316 0.654665 0.580048 0.534202 0.335711 1.11671,0 0 0 0 1.77636e-15 0 0 3.55271e-15 13.9342 21.308 22.8558 23.968 24.3002 24.9422 15.606 8.0358 3.694 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8.88178e-16 0
W5P2,35.44262168674699,1.4767759036144579,9.850400000000011,7.993605777301127e-15,5.742199999999997,7.105427357601002e-15,0.607677 0.8964 1.05486 0.890747 1.00943 0.917046 1.10977 0.683696 2.11042 2.50467 2.66283 3 3 3 2.64766 2.19295 2.2492 1.07221 0.611711 0.654665 0.580048 0.534202 0.335711 1.11671,0 0 0 0 1.77636e-15 0 0 0 0 0 0 0.288 3.8202 5.7422 0 0 0 1.77636e-15 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7.10543e-15 0 0 0 0 0 0 8.88178e-16 0
W5P3,24.172048192771083,1.0071686746987951,1.7763568394002505e-15,8.881784197001252e-16,1.7763568394002505e-15,8.881784197001252e-16,0.607677 0.8964 1.05486 0.890747 1.00943 0.917046 1.10977 0.544901 1.55524 1.57937 1.41367 1.5866 1.70315 1.74956 1.16718 0.851263 1.23137 0.609557 0.472916 0.654665 0.580048 0.534202 0.335711 1.11671,0 0 0 0 1.77636e-15 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8.88178e-16 0
W5P4,19.499277108433734,0.8124698795180723,1.7763568394002505e-15,8.881784197001252e-16,1.7763568394002505e-15,8.881784197001252e-16,0.607677 0.8964 1.05486 0.890747 1.00943 0.917046 1.10977 0.452371 1.32392 1.20925 0.858492 0.846361 1.05544 1.28691 0.70453 0.434877 0.861253 0.378231 0.380386 0.654665 0.580048 0.534202 0.335711 1.11671,0 0 0 0 1.77636e-15 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8.88178e-16 0
W6P1,40.786539759036145,1.6994391566265061,90.8262,0.0,18.0882,0.0,0.583966 0.679822 0.794328 0.760048 0.721431 0.674733 1.61377 2.35444 3 3 3 3 3 3 3 3 2.61586 2.13891 1.4254 0.541027 0.359422 0.488227 0.442988 0.592178,0 0 0 0 0 0 0 0 1.2822 7.328 12.8998 15.7 18.0882 17.8982 12.782 4.8478 0 3.55271e-15 0 8.88178e-16 0 0 0 0,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
W6P2,28.66120481927711,1.1942168674698797,8.881784197001252e-16,0.0,8.881784197001252e-16,0.0,0.583966 0.679822 0.794328 0.760048 0.721431 0.674733 0.595937 0.735166 1.19582 1.49407 1.94312 2.42313 2.8271 2.90589 2.44352 1.96249 1.59802 1.07481 0.823952 0.541027 0.359422 0.488227 0.442988 0.592178,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8.88178e-16 0 0 0 0,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
W6P3,16.678554216867468,0.6949397590361445,1.7763568394002505e-15,1.7763568394002505e-15,8.881784197001252e-16,1.7763568394002505e-15,0.583966 0.679822 0.794328 0.760048 0.721431 0.674733 0.595937 0.596371 0.640641 0.568771 0.693961 0.988916 1.25409 1.24035 0.963036 0.620805 0.580193 0.612159 0.685157 0.541027 0.359422 0.488227 0.442988 0.592178,0 0 0 0 0 0 0 0 0 8.88178e-16 0 0 0 0 0 0 0 0 0 8.88178e-16 0 0 0 0,0 0 0 0 0 0 0 1.77636e-15 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
W6P4,12.505185542168674,0.5210493975903614,8.881784197001252e-16,6.9084,8.881784197001252e-16,2.230199999999999,0.583966 0.679822 0.794328 0.760048 0.721431 0.674733 0.595937 0.503841 0.409316 0.3 0.3 0.3 0.606376 0.777701 0.500386 0.3 0.3 0.380834 0.592627 0.541027 0.359422 0.488227 0.442988 0.592178,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8.88178e-16 0 0 0 0,0 0 0 0 0 0 0 0 0 1.402 2.2302 0.71 0 0 0 1.3222 1.244 0 0 0 0 0 0 0
