日产氨量(吨),折算年天数,全年合成氨产量(吨),全年总成本(元),全年增量成本(元),全年平均吨氨成本(元/吨),全年平均增量吨氨成本(元/吨),全满足天数,部分满足天数,全不满足天数,是否推荐
72,360,25920,187358379.3823356,173437180.46233562,7228.33253789875,6691.249246232084,270,90,0,
63,360,22680,146633266.07233563,132712067.15233563,6465.3115552176205,5851.502079027144,300,60,0,
54,360,19440,111290724.19483562,97369525.27483563,5724.83149150389,5008.720435948335,240,120,0,
45,360,16200,82325539.72483562,68404340.80483562,5081.823439804668,4222.490173138001,240,120,0,
36,360,12960,55738378.86433562,41817179.94433561,4300.800838297501,3226.634254964167,165,195,0,成本最优
