design_scenario_id,capacity_basis_method,wind_cap_MW,pv_cap_MW,E_cap_MWh,P_cap_MW,duration_h,daily_NH3_t,mean_daily_NH3_t,delta_NH3_t,mean_delta_NH3_t,worst_shortfall_t,worst_case_scenario_id,curtail_MWh,mean_curtail_MWh,curtail_reduction_MWh,storage_charge_MWh,storage_discharge_MWh,max_SOC_MWh,unserved_base_MWh,storage_daily_cost,storage_unit_cost_yuan_per_t,incremental_storage_cost_yuan_per_added_t
W4P1,max_curtailment_original_capacity,40.0,64.0,0.0,0.0,nan,46.48642409638555,27.958492771084337,0.0,0.0,61.8514843373494,W2P4,173.706,33.55199166666666,0.0,0.0,0.0,0.0,0.5642000000000009,0.0,0.0,nan
W4P1,max_curtailment_original_capacity,40.0,64.0,10.0,2.5,4.0,47.09055671716884,27.859305657449635,0.6041326207832896,-0.09918711363470223,63.280176007098916,W2P4,161.76962500720873,29.827154001664606,11.936374992791258,15.0,11.984992928044381,10.0,0.0,1976.4840182648402,41.97198241116207,3271.6061842550816
W4P1,max_curtailment_original_capacity,40.0,64.0,20.0,5.0,4.0,47.740155404749,27.92283506863838,1.2537313083634487,-0.03565770244595612,64.4516479506443,W2P4,151.16175535563553,26.673802046426186,22.544244644364454,22.544244644364436,17.907483099027754,20.0,0.0,3878.4104829733246,81.24000540198317,3093.4941618678936
W4P1,max_curtailment_original_capacity,40.0,64.0,30.0,7.5,4.0,48.38277609237579,28.084328438557634,1.8963519959902442,0.12583566747329655,64.67858411172402,W2P4,138.57197093403772,23.61293041113214,35.13402906596227,41.11309519822683,32.776135410129626,30.0,0.0,5890.583006776788,121.74958699207491,3106.2708923407554
W4P1,max_curtailment_original_capacity,40.0,64.0,40.0,10.0,4.0,49.03292896874235,28.246384401598277,2.546504872356799,0.28789163051393984,64.67835877380573,W2P4,128.64072255955097,20.980884464875007,45.06527744044902,45.06527744044903,35.79085073426913,40.0,0.0,7756.588847463851,158.19142381660586,3045.974477278381
W4P1,max_curtailment_original_capacity,40.0,64.0,50.0,12.5,4.0,49.679217110963044,28.40792367305072,3.1927930145774965,0.4494309019663838,64.67835877380573,W2P4,117.38854031732872,18.20537718441901,56.31745968267127,56.317459682671284,44.731170034988835,50.0,0.0,9695.594688150913,195.16399919296074,3036.712572309964
W4P1,max_curtailment_original_capacity,40.0,64.0,60.0,15.0,4.0,50.32550525318375,28.56949620160024,3.8390811567982013,0.611003430515904,64.67835877380573,W2P4,106.13635807510653,15.39146319009887,67.56964192489346,67.56964192489347,53.67148933570855,60.0,0.0,11634.600528837975,231.1869591831258,3030.5690485952755
W4P1,max_curtailment_original_capacity,40.0,64.0,70.0,17.5,4.0,50.97169037280898,28.730961061363075,4.485266276423431,0.7724682902787379,64.67835877380573,W2P4,90.7522916561312,12.22150287564556,82.95370834386878,100.87421633408627,80.53089148074173,70.0,0.0,13794.130291194744,270.62336348478783,3075.4317449786367
W4P1,max_curtailment_original_capacity,40.0,64.0,80.0,20.0,4.0,51.61689634490921,28.89238512331238,5.13047224852366,0.9338923522280425,64.67835877380573,W2P4,79.08235533655039,9.558859247042797,94.6236446634496,114.50029746519738,91.41238557299175,80.0,0.0,15756.875120770696,305.2658380597256,3071.232891924302
W4P1,max_curtailment_original_capacity,40.0,64.0,90.0,22.5,4.0,52.26210231700942,29.003890896521202,5.775678220623874,1.045398125436865,64.67835877380573,W2P4,67.40486770454908,7.61187175169436,106.30113229545091,128.1263306922445,102.28628044875725,90.0,0.0,17719.619471306003,339.0529405767687,3067.972070887283
