scenario_id,capacity_basis_method,wind_cap_MW,pv_cap_MW,E_cap_MWh,P_cap_MW,daily_NH3_t,avg_rate_tph,shortfall_to_72_t,curtail_MWh,unserved_base_MWh,storage_charge_MWh,storage_discharge_MWh,storage_recovered_MWh,delta_NH3_t,curtail_reduction_MWh,max_SOC_MWh,daily_total_cost,offgrid_unit_cost
W1P1,max_curtailment_original_capacity,40.0,64.0,10.0,2.5,41.53844690354869,1.7307686209811954,30.46155309645131,123.1560851741725,0.0,16.16101121107111,12.888278551000427,12.888278551000427,0.05399871077760565,12.16791482582751,10.0,173529.44864940364,4177.562272665971
W1P2,max_curtailment_original_capacity,40.0,64.0,10.0,2.5,31.483015481275057,1.311792311719794,40.51698451872494,4.950200000000002,0.0,10.166952509028341,8.148200000000003,8.148200000000003,-0.5542375307731398,2.500000000000006,9.113456336641722,125673.20026050488,3991.7777360065998
W1P3,max_curtailment_original_capacity,40.0,64.0,10.0,2.5,19.857918423031798,0.8274132676263249,52.1420815769682,0.0,0.0,10.17099514806009,8.148200000000003,8.148200000000003,-0.7352526613055517,7.993605777301127e-15,9.113456336641722,86395.25382609818,4350.6701954165765
W1P4,max_curtailment_original_capacity,40.0,64.0,10.0,2.5,15.203667957607104,0.633486164900296,56.7963320423929,0.0,0.4693413965847555,11.15259325310172,8.916658603415248,8.916658603415248,-0.8062115604651847,2.6645352591003757e-15,10.0,70886.53144764202,4662.462482428405
W2P1,max_curtailment_original_capacity,40.0,64.0,10.0,2.5,37.89119035502008,1.5787995981258367,34.10880964497992,77.84326996281473,6.701070965793601,14.335263459407471,11.4549290342064,11.4549290342064,-0.004809644979921757,11.76873003718525,10.0,151999.78300112413,4011.4808106308587
W2P2,max_curtailment_original_capacity,40.0,64.0,10.0,2.5,24.87684972099631,1.036535405041513,47.12315027900369,0.0,6.701070965793601,11.150245526217674,8.954929034206401,8.954929034206401,-0.8060418452687479,8.881784197001252e-16,10.0,99237.15075778525,3989.136561532873
W2P3,max_curtailment_original_capacity,40.0,64.0,10.0,2.5,12.889508655492916,0.5370628606455382,59.11049134450708,0.0,6.701070965793601,11.426930265681305,9.166729034206401,9.166729034206401,-0.8260431517359983,8.881784197001252e-16,10.0,59357.82848827539,4605.12732290845
W2P4,max_curtailment_original_capacity,40.0,64.0,10.0,2.5,8.71982399290108,0.3633259997042117,63.280176007098916,0.0,15.310449522666687,19.763568098201723,15.853350477333318,15.853350477333318,-1.4286916697495222,8.881784197001252e-16,10.0,44730.75074428493,5129.7767914468
W3P1,max_curtailment_original_capacity,40.0,64.0,10.0,2.5,43.569395836058604,1.8153914931691084,28.430604163941396,115.11971803852674,0.0,11.248481961473242,8.958175732144,8.958175732144,0.647578968588725,11.248481961473232,10.0,179728.6691933567,4125.112725217339
W3P2,max_curtailment_original_capacity,40.0,64.0,10.0,2.5,33.24787471595624,1.3853281131648434,38.75212528404376,1.1341999999999999,0.0,2.5922000000000054,2.095333570728004,2.095333570728004,0.15146989667913857,2.5922000000000054,2.332814040000005,131402.04965245124,3952.193960517695
