recommendation_type,design_scenario_id,E_cap_MWh,P_cap_MW,duration_h,daily_NH3_t,mean_daily_NH3_t,delta_NH3_t,worst_shortfall_t,worst_case_scenario_id,curtail_reduction_MWh,storage_daily_cost,incremental_storage_cost_yuan_per_added_t,interpretation
minimax_robust_dispatch,ALL_MINIMAX,130.0,32.5,4.0,72.0,72.0,9.822270298536331,0.0,W1P1,95.11388108478087,27008.532894461925,2749.72405295002,minimizes the worst-case daily ammonia shortfall across all 24 wind/PV scenarios
economic_min_incremental_cost,ALL_MINIMAX,10.0,2.5,4.0,63.4715968122731,70.17855463042666,1.2938671108094297,8.528403187726902,W2P4,9.563849725599828,2115.4469430427184,1634.980072813905,lowest marginal storage cost per added ton of ammonia; use as the cost-first design
max_daily_NH3,ALL_MINIMAX,130.0,32.5,4.0,72.0,72.0,9.822270298536331,0.0,W1P1,95.11388108478087,27008.532894461925,2749.72405295002,highest off-grid ammonia output in the scanned storage range
max_curtailment_reduction,ALL_MINIMAX,150.0,37.5,4.0,72.0,72.0,9.822270298536331,0.0,W1P1,99.28969231280813,30839.881274136653,3139.7915488776835,largest renewable curtailment reduction in the scanned storage range
smallest_capacity_for_90pct_curtailment_reduction,ALL_MINIMAX,130.0,32.5,4.0,72.0,72.0,9.822270298536331,0.0,W1P1,95.11388108478087,27008.532894461925,2749.72405295002,smallest storage capacity that captures at least 90% of the maximum achievable curtailment reduction
