Q,avg_ton_cost,all,partial,none,mean_self_use_gen,mean_green_load,mean_sell_ratio,mean_buy,mean_sell
72,7228.33253789875,18,6,0,0.9562781576700136,0.4186760368561839,0.0437218423299864,614.2966583333333,33.55199166666666
63,6464.903698074765,20,4,0,0.9561450752011128,0.4744856453769854,0.04385492479888705,489.8949916666666,33.650325
54,5719.502713031668,16,8,0,0.9365488932043556,0.5288794074679345,0.06345110679564435,380.533525,48.78885833333328
45,5070.5520067491125,16,8,0,0.8656679202747979,0.5561118551369496,0.13433207972520214,303.2732583333333,96.0285916666666
36,4282.23442545028,10,14,0,0.7371415894049261,0.5502901274341353,0.2628584105950739,251.26189999999994,168.51723333333325
