E_cap_MWh,recovered_MWh,daily_NH3_t,storage_daily_cost,storage_unit_cost_yuan_per_t
0.0,0.0,46.44563855421687,0.0,0.0
10.0,8.1,47.03118072289157,1907.4840182648402,40.55785946569713
20.0,16.2,47.61672289156627,3814.9680365296804,80.11824008168728
30.0,24.3,48.20226506024097,5722.45205479452,118.71749279090648
40.0,32.4,48.78780722891567,7629.936073059361,156.39022342732454
50.0,40.5,49.37334939759037,9537.4200913242,193.16939619635502
60.0,48.6,49.958891566265066,11444.90410958904,229.08642987822523
70.0,56.7,50.54443373493976,13352.388127853881,264.17128734442224
80.0,64.8,51.12997590361446,15259.872146118722,298.45255892326713
90.0,72.9,51.71551807228916,17167.35616438356,331.9575401021146
100.0,81.0,52.30106024096386,19074.8401826484,364.71230401001276
110.0,89.10000000000001,52.886602409638556,20982.32420091324,396.74176908534446
120.0,97.2,53.472144578313255,22889.80821917808,428.0697622975369
130.0,105.3,54.057686746987955,24797.29223744292,458.7190782599406
140.0,113.4,54.643228915662654,26704.776255707762,488.711534542082
150.0,121.5,55.22877108433735,28612.260273972603,518.0680234633523
160.0,129.6,55.81431325301205,30519.744292237443,546.808560626524
170.0,137.70000000000002,56.39985542168675,32427.228310502283,574.9523304280216
180.0,138.9648,56.49128674698795,34266.36032876712,606.5777981344028
