scenario_id,Q_day,total_cost,unit_cost,E_load,E_re,E_buy,E_sell,E_curtail,E_self,R_self,R_green,R_sell,class,pass_self,pass_green,pass_green_2030,pass_sell,x_vector,buy_vector,sell_vector
W1P3,72,587763.4826328767,8163.381703234399,1056.7199999999998,337.44399999999996,719.2760000000001,0.0,0.0,337.44399999999996,1.0,0.31933151639033996,0.0,全满足,True,True,False,True,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1,33.0938 31.6958 27.1478 29.178 27.6082 24.4062 34.3722 20.7862 24.4578 26.252 26.0362 26.144 22.1238 15.5898 26.902 27.1042 30.022 35.0558 36.402 37.8838 39.608 39.4382 38.18 39.7882,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
W1P3,63,472855.6826328768,7505.64575607741,932.22,337.44399999999996,594.776,0.0,0.0,337.44399999999996,1.0,0.36197893201175685,0.0,全满足,True,True,True,True,1 1 1 1 1 1 1 1 1 1 1 0.370024 0.466896 0.624342 0.351759 1 1 1 1 0.186978 1 1 1 1,33.0938 31.6958 27.1478 29.178 27.6082 24.4062 34.3722 20.7862 24.4578 26.252 26.0362 0 0 0 0 27.1042 30.022 35.0558 36.402 4.1434 39.608 39.4382 38.18 39.7882,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
W1P3,54,362056.71563287673,6704.753993201421,807.7200000000001,337.44399999999996,472.168,1.8919999999999801,0.0,335.55199999999996,0.9943931437512595,0.4154310899816767,0.005606856248740474,全满足,True,True,True,True,1 1 1 1 1 1 1 1 1 1 0.372622 0.370024 0.466896 0.624342 0.351759 1 1 1 0.122843 0.1 4.76192e-16 0.591513 1 1,33.0938 31.6958 27.1478 29.178 27.6082 24.4062 34.3722 20.7862 24.4578 26.252 0 0 0 0 0 27.1042 30.022 35.0558 0 0.5338 0 22.486 38.18 39.7882,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.892 0 0 0
W1P3,45,271426.41563287674,6031.6981251750385,683.22,337.44399999999996,347.668,1.8919999999999801,0.0,335.55199999999996,0.9943931437512595,0.4911331635490764,0.005606856248740474,全满足,True,True,True,True,1 1 1 1 1 1 1 0.499128 0.410655 0.367422 0.372622 0.370024 0.466896 0.624342 0.351759 1 0.276578 1 0.122843 0.1 4.76192e-16 0.1 0.93773 1,33.0938 31.6958 27.1478 29.178 27.6082 24.4062 34.3722 0 0 0 0 0 0 0 0 27.1042 0 35.0558 0 0.5338 0 2.0882 35.5958 39.7882,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.892 0 0 0
W1P3,36,186228.06953287672,5173.001931468798,558.72,337.44399999999996,247.2901999999999,26.014199999999846,0.0,311.4298000000001,0.9229080973435597,0.5573986970217643,0.07709190265644032,全满足,True,True,True,True,1 1 1 1 1 1 1 0.412814 0.410655 0.367422 0.372622 0.370024 0.466896 0.624342 0.351759 0.346887 0.276578 2.56823e-16 3.85234e-16 2.67524e-16 2.56823e-16 2.56823e-16 2.56823e-16 1,33.0938 31.6958 27.1478 29.178 27.6082 24.4062 34.3722 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 39.7882,0 0 0 0 0 0 0 3.582 0 0 0 0 0 0 0 0 0 6.4442 5.098 3.6162 1.892 2.0618 3.32 0
W1P4,72,627256.2186328768,8711.89192545662,1056.7199999999998,272.804,783.9159999999999,0.0,0.0,272.804,1.0,0.2581611022787494,0.0,部分满足,True,False,False,True,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1,33.0938 31.6958 27.1478 29.178 27.6082 24.4062 34.3722 22.0662 27.6578 31.372 33.7162 36.384 31.0838 21.9898 33.302 32.8642 35.142 38.2558 37.682 37.8838 39.608 39.4382 38.18 39.7882,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
W1P4,63,512348.4186328767,8132.514581474234,932.22,272.804,659.4159999999998,0.0,0.0,272.804,1.0,0.2926390766128167,0.0,部分满足,True,False,False,True,1 1 1 1 1 1 1 1 1 1 0.187561 0.123277 0.250993 0.470125 0.968043 1 1 1 1 1 1 1 1 1,33.0938 31.6958 27.1478 29.178 27.6082 24.4062 34.3722 22.0662 27.6578 31.372 0 0 0 0 31.9758 32.8642 35.142 38.2558 37.682 37.8838 39.608 39.4382 38.18 39.7882,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
W1P4,54,397440.6186328767,7360.011456164384,807.72,272.804,534.9159999999999,0.0,0.0,272.804,1.0,0.3377457534789283,0.0,全满足,True,True,False,True,1 1 1 1 1 1 1 1 1 1 0.187561 0.123277 0.250993 0.470125 0.197542 1 1 1 0.1 0.570501 0.1 1 1 1,33.0938 31.6958 27.1478 29.178 27.6082 24.4062 34.3722 22.0662 27.6578 31.372 0 0 0 0 0 32.8642 35.142 38.2558 0.332 20.0596 2.258 39.4382 38.18 39.7882,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
W1P4,45,302996.69163287675,6733.2598140639275,683.22,272.804,412.308,1.8919999999999892,0.0,270.912,0.9930646178208531,0.39652235004830066,0.006935382179146895,全满足,True,True,True,True,1 1 1 1 1 1 1 1 1 1 0.187561 0.123277 0.250993 0.470125 0.197542 0.208092 1 0.1 0.1 0.1 2.56823e-16 0.26241 1 1,33.0938 31.6958 27.1478 29.178 27.6082 24.4062 34.3722 22.0662 27.6578 31.372 0 0 0 0 0 0 35.142 0.9058 0.332 0.5338 0 8.8282 38.18 39.7882,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.892 0 0 0
W1P4,36,212366.3916328768,5899.066434246578,558.72,272.804,287.80800000000005,1.8919999999999892,0.0,270.912,0.9930646178208531,0.4848797250859106,0.006935382179146895,全满足,True,True,True,True,1 1 1 1 1 1 1 0.468284 0.333547 0.244048 0.187561 0.123277 0.250993 0.470125 0.197542 0.208092 0.153205 0.1 0.1 0.1 2.56823e-16 0.1 0.963325 1,33.0938 31.6958 27.1478 29.178 27.6082 24.4062 34.3722 0 0 0 0 0 0 0 0 0 0 0.9058 0.332 0.5338 0 2.0882 36.658 39.7882,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.892 0 0 0
