Q,avg_ton_cost,avg_incremental_ton_cost,all,partial,none,mean_self_use_gen,mean_green_load,mean_sell_ratio,mean_buy,mean_sell
72,7228.33253789875,6691.249246232085,18,6,0,0.9562781576700136,0.418676036856184,0.0437218423299864,614.2966583333333,33.55199166666666
63,6465.31155521762,5851.502079027145,20,4,0,0.9562781576700136,0.47459112834595557,0.04372184232998641,489.79665833333337,33.55199166666667
54,5724.83149150389,5008.720435948335,16,8,0,0.9357648986486042,0.5280559888740323,0.06423510135139567,381.19861666666674,49.45394999999999
45,5081.823439804668,4222.490173138001,16,8,0,0.8646337610578031,0.5545454611984427,0.13536623894219693,304.34344999999996,97.09878333333332
36,4300.800838297501,3226.634254964168,11,13,0,0.7344309676804067,0.5472756031643757,0.2655690323195932,252.94617500000004,170.20150833333335
