Q,avg_ton_cost,avg_incremental_ton_cost,all,partial,none,mean_self_use_gen,mean_green_load,mean_sell_ratio,mean_buy,mean_sell
72,7228.33253789875,6691.249246232085,18,6,0,0.9562781576700136,0.418676036856184,0.0437218423299864,614.2966583333333,33.55199166666666
63,6575.459384979525,5961.649908789049,14,10,0,0.913000675270947,0.45332965930788865,0.08699932472905314,509.617025,53.37235833333333
54,5970.538328540926,5254.427272985372,14,10,0,0.8369997009026141,0.4832854000561251,0.16300029909738598,417.36071666666663,85.61605000000002
45,5363.3754239713335,4504.042157304667,1,23,0,0.7114157738612734,0.47967998350946006,0.28858422613872664,355.4930416666666,148.248375
36,4585.146813644723,3510.98023031139,0,24,0,0.5874703635131285,0.46665020045819006,0.4125296364868714,297.9932,215.2485333333333
