mode,scenario,target_tpd,total_cost_yuan,ton_cost_yuan_per_t,E_load_MWh,E_RE_MWh,E_buy_MWh,E_sell_MWh,E_curtail_MWh,E_self_supply_MWh,E_self_use_MWh,balance_gap_MWh,self_use_gen_ratio,green_load_ratio,sell_ratio,is_all_qualified,statement_self_use_ratio,statement_green_load_ratio,statement_sell_ratio,class_metering
discrete,W1P1,72,390965.99163287674,5430.083217123288,1056.7199999999998,761.7639999999999,430.28,135.324,0.0,626.4399999999998,626.4399999999998,0.0,0.8223544299809389,0.5928155045802104,0.17764557001906106,True,0.6447088599618778,0.5928155045802104,0.17764557001906106,全满足
discrete,W1P1,63,284907.40353287675,4522.339738617091,932.22,761.7639999999999,326.6262,156.1702,0.0,605.5938000000001,605.5937999999999,2.2737367544323206e-13,0.7949887366690995,0.649625410310871,0.20501126333090042,False,0.5899774733381994,0.6496254103108706,0.20501126333090042,部分满足
discrete,W1P1,54,201838.21053287672,3737.744639497717,807.7199999999999,761.7639999999999,235.0722,189.11620000000002,0.0,572.6478,572.6477999999998,1.1368683772161603e-13,0.7517391213026605,0.7089682068043381,0.2482608786973394,False,0.5034782426053213,0.708968206804338,0.2482608786973394,部分满足
discrete,W1P1,45,139353.33153287673,3096.740700730594,683.22,761.7639999999999,233.2102,311.7542,0.0,450.00980000000004,450.00979999999987,1.7053025658242404e-13,0.5907470030088058,0.6586601680278681,0.4092529969911942,False,0.1814940060176118,0.6586601680278679,0.4092529969911942,部分满足
discrete,W1P1,36,77295.78153287672,2147.105042579909,558.72,761.7639999999999,233.2102,436.2542000000001,0.0,325.50980000000004,325.5097999999998,2.2737367544323206e-13,0.4273105581256135,0.582599155211913,0.5726894418743865,False,-0.14537888374877267,0.5825991552119126,0.5726894418743865,部分满足
discrete,W1P2,72,489792.26853287674,6802.670396289955,1056.7199999999998,503.204,560.9662000000001,7.450200000000002,0.0,495.7537999999997,495.7538,-2.8421709430404007e-13,0.9851944738118139,0.4691439548792488,0.014805526188186108,True,0.9703889476236273,0.4691439548792491,0.014805526188186108,全满足
discrete,W1P2,63,380201.8404328767,6034.9498481409,932.22,503.204,448.9924,19.9764,0.0,483.22760000000005,483.2276,5.684341886080802e-14,0.9603015874277628,0.518362189182811,0.03969841257223711,True,0.9206031748555259,0.5183621891828109,0.03969841257223711,全满足
discrete,W1P2,54,293754.4074328767,5439.896433942161,807.7199999999999,503.204,342.71840000000003,38.2024,0.0,465.0015999999999,465.0016,-1.1368683772161603e-13,0.9240816845653055,0.5756965284999751,0.07591831543469447,True,0.8481633691306107,0.5756965284999753,0.07591831543469447,全满足
discrete,W1P2,45,219799.55253287673,4884.434500730594,683.22,503.204,298.31819999999993,118.3022,0.0,384.9018000000001,384.9018,1.1368683772161603e-13,0.7649021072964444,0.5633643628699395,0.2350978927035556,False,0.529804214592889,0.5633643628699394,0.2350978927035556,部分满足
discrete,W1P2,36,148269.94053287667,4118.609459246574,558.72,503.204,262.5022,206.98620000000003,0.0,296.2178,296.2178,0.0,0.588663444646704,0.5301721792668957,0.4113365553532961,False,0.17732688929340776,0.5301721792668957,0.4113365553532961,部分满足
discrete,W1P3,72,587763.4826328767,8163.381703234399,1056.7199999999998,337.44399999999996,719.2760000000001,0.0,0.0,337.44399999999973,337.44399999999996,-2.2737367544323206e-13,1.0,0.31933151639033974,0.0,True,0.9999999999999993,0.31933151639033996,0.0,全满足
discrete,W1P3,63,477358.01453287667,7577.111341791693,932.22,337.44399999999996,605.3822,10.606200000000015,0.0,326.8378,326.83779999999996,5.684341886080802e-14,0.9685690070056069,0.35060157473557746,0.03143099299439319,True,0.9371380140112137,0.3506015747355774,0.03143099299439319,全满足
discrete,W1P3,54,381730.07063287665,7069.075382090308,807.72,337.44399999999996,526.3,56.024,0.0,281.4200000000001,281.41999999999996,1.1368683772161603e-13,0.8339754151800002,0.34841281632248805,0.1660245848199998,True,0.6679508303600008,0.34841281632248794,0.1660245848199998,全满足
discrete,W1P3,45,292467.59063287673,6499.279791841705,683.22,337.44399999999996,426.5580000000001,80.78200000000001,0.0,256.6619999999999,256.6619999999999,0.0,0.7606062042887115,0.3756652322824272,0.23939379571128847,False,0.5212124085774229,0.3756652322824272,0.23939379571128847,部分满足
discrete,W1P3,36,208856.8154328767,5801.578206468797,558.72,337.44399999999996,345.89040000000006,124.61439999999999,0.0,212.82959999999997,212.82959999999997,0.0,0.6307108735079006,0.3809235395189003,0.36928912649209944,False,0.2614217470158011,0.3809235395189003,0.36928912649209944,部分满足
