mode,scenario,target_tpd,class_metering,total_cost_yuan,ton_cost_yuan_per_t,self_use_gen_ratio,green_load_ratio,sell_ratio,E_buy_MWh,E_sell_MWh,topsis_score
continuous,W4P2,54,全满足,242919.78953287678,4498.514620979199,0.9778800188885516,0.7486329421086518,0.022119981111448524,203.03419999999988,13.678199999999757,0.8352059589817254
continuous,W5P2,54,全满足,262037.6990328767,4852.54998209031,0.9824369717933173,0.6821789729114051,0.01756302820668262,256.71039999999994,9.850400000000013,0.7648589568480376
continuous,W4P3,45,全满足,229941.7666328767,5109.817036286149,1.0,0.662457188021428,0.0,230.616,0.0,0.7455334172305409
continuous,W3P2,54,全满足,275476.0930328768,5101.409130238459,0.9928651298154246,0.6419967315406329,0.007134870184575334,289.16640000000007,3.7264000000000053,0.726723932788441
continuous,W2P2,45,全满足,229708.40763287674,5104.631280730594,0.9988310053354115,0.5852814613155353,0.001168994664588428,283.344,0.46799999999998965,0.707831406475098
continuous,W5P4,36,全满足,190813.39223287677,5300.372006468799,1.0,0.5914590492554408,0.0,228.2600000000001,0.0,0.6936799851229412
continuous,W3P2,45,全满足,201539.57713287676,4478.6572696194835,0.8535915600827145,0.6525186616316854,0.14640843991728542,237.4061999999999,76.46619999999982,0.31792615437601746
continuous,W4P1,63,全满足,247985.52563287673,3936.278184648837,0.8019144190374538,0.754347686168501,0.1980855809625463,229.002,173.70599999999996,0.31020082237248175
continuous,W3P1,63,全满足,271961.7421328768,4316.853049728204,0.8381637723477281,0.702057239707365,0.1618362276522719,277.7482000000002,126.36819999999999,0.3066824507140188
continuous,W2P1,54,全满足,223822.65843287678,4144.864045053274,0.8263170355620854,0.6740746793443274,0.17368296443791473,263.25639999999987,114.44039999999977,0.288268036409505
continuous,W5P1,63,全满足,264525.2321328767,4198.81320845836,0.8063945229552612,0.7088195919418164,0.19360547704473896,271.4441999999999,158.6442,0.26289281886146637
continuous,W5P2,45,全满足,193122.64313287672,4291.6142918417045,0.8137321256641588,0.6679983021574311,0.18626787433584124,226.83019999999993,104.4701999999999,0.24401126213782715
