Q_day,annual_days,annual_total_NH3,annual_total_cost,annual_incremental_total_cost,annual_average_unit_cost,annual_average_incremental_unit_cost,days_all_pass,days_partial_pass,days_all_fail,best_or_not
72,360,25920,187358379.382336,173437180.462336,7228.33253789875,6691.24924623208,270,90,0,
63,360,22680,153705451.124836,139784252.204836,6777.13629298217,6163.32681679169,240,120,0,
54,360,19440,123103729.549336,109182530.629336,6332.49637599463,5616.38532043907,255,105,0,
45,360,16200,96930618.8383356,83009419.9183356,5983.37153323059,5124.03826656393,240,120,0,
36,360,12960,70067004.3598356,56145805.4398356,5406.40465739472,4332.23807406139,60,300,0,best_cost
