scenario_id,Q_day,unit_cost_reduction,buy_reduction_MWh,sell_reduction_MWh,self_ratio_gain,green_ratio_gain,sell_ratio_reduction
W1P1,72,2.72848410531878e-12,4.54747350886464e-13,0,0,2.22044604925031e-16,0
W1P1,63,23.9058444444481,5.66560000000027,5.66560000000001,0.00743747407333506,0.00607753534573408,0.00743747407333506
W1P1,54,-49.115553703703,16.7518000000001,16.7518,0.0219908003003555,0.0207396127370871,0.0219908003003555
W1P1,45,-60.711928888888,18.9996000000001,18.9996,0.0249415829574514,0.0278089048915429,0.0249415829574514
W1P1,36,10.2392222222202,24.5939999999999,24.5940000000001,0.0322855897627088,0.0440184707903779,0.0322855897627087
W1P2,72,2.72848410531878e-12,3.41060513164848e-13,0,0,2.22044604925031e-16,0
W1P2,63,23.905844444449,5.66560000000027,5.6656,0.0112590519948171,0.00607753534573396,0.0112590519948172
W1P2,54,-49.1155537037012,16.7518000000002,16.7518,0.0332902759119562,0.0207396127370872,0.0332902759119562
W1P2,45,-62.3135311111091,21.0298,21.0298,0.0417917981574074,0.0307804221187905,0.0417917981574073
W1P2,36,-88.1669944444466,31.4495999999999,31.4496,0.0624987082773588,0.0562886597938143,0.0624987082773587
W1P3,72,2.72848410531878e-12,3.41060513164848e-13,0,0,1.66533453693773e-16,0
W1P3,63,23.9058444444472,5.66560000000015,5.6656,0.0167897488175816,0.00607753534573391,0.0167897488175816
W1P3,54,73.0788907407432,16.7518000000002,16.7518,0.0496432000568984,0.0207396127370872,0.0496432000568983
W1P3,45,-64.2997955555538,23.5476,23.5476,0.0697822453503396,0.0344656186879774,0.0697822453503396
W1P3,36,-88.6210000000028,31.9099999999999,31.91,0.0945638387406502,0.0571126861397478,0.0945638387406503
W1P4,72,1.81898940354586e-12,3.41060513164848e-13,0,0,1.11022302462516e-16,0
W1P4,63,23.9058444444472,5.66560000000015,5.6656,0.0207680239292678,0.00607753534573391,0.0207680239292679
W1P4,54,159.145907407409,15.846,15.846,0.0580856585680563,0.019618184519388,0.0580856585680562
W1P4,45,-74.1626244444406,24.9862000000001,24.9862,0.0915902992624742,0.0365712362050292,0.0915902992624741
W1P4,36,-12.0738861111113,36.1578,36.1578,0.132541311710972,0.0647154209621992,0.132541311710972
W2P1,72,6.3664629124105e-12,3.97903932025656e-13,0,0,1.11022302462516e-16,0
W2P1,63,30.8984761904803,1.03200000000021,1.032,0.00156623726673388,0.00110703482010699,0.00156623726673383
W2P1,54,-92.17437222222,9.38220000000015,9.38220000000003,0.0142391000813472,0.0116156588916952,0.0142391000813472
W2P1,45,-116.825848888888,17.2624,17.2624,0.0261986571640177,0.0252662392787094,0.0261986571640178
W2P1,36,-54.8302277777798,17.7123999999999,17.7124,0.026881609460559,0.0317017468499428,0.0268816094605588
W2P2,72,5.45696821063757e-12,4.54747350886464e-13,0,0,5.55111512312578e-17,0
W2P2,63,30.8984761904803,1.03200000000027,1.032,0.00257778310652834,0.00110703482010688,0.00257778310652839
W2P2,54,-92.1743722222209,9.38220000000001,9.3822,0.0234353456027816,0.0116156588916952,0.0234353456027816
W2P2,45,82.588106666668,18.5124,18.5124,0.0462412325400157,0.0270958110125582,0.0462412325400156
W2P2,36,-158.309394444446,29.7123999999999,29.7124,0.0742171732310214,0.053179410080183,0.0742171732310213
W2P3,72,5.45696821063757e-12,4.54747350886464e-13,0,0,5.55111512312578e-17,0
W2P3,63,30.8984761904794,1.03200000000038,1.032,0.00439927701804044,0.00110703482010688,0.00439927701804045
W2P3,54,-93.2111314814792,9.37820000000011,9.3782,0.0399780036149098,0.0116107066805328,0.0399780036149098
W2P3,45,90.1259066666653,19.9904,19.9904,0.0852163830440269,0.0292590966306606,0.0852163830440269
W2P3,36,90.9070499999989,30.9543999999999,30.9544,0.131954438495379,0.0554023482245131,0.131954438495379
W2P4,72,7.27595761418343e-12,4.54747350886464e-13,0,0,2.77555756156289e-17,0
W2P4,63,-7.63723809523253,1.03200000000038,1.032,0.00607258861742699,0.00110703482010688,0.00607258861742692
W2P4,54,81.5203333333338,3.64600000000019,3.646,0.0214541260650567,0.00451394047442177,0.0214541260650567
W2P4,45,-218.595380000001,9.6561999999999,9.6562,0.0568198936120135,0.0141333684611106,0.0568198936120134
