scenario_id,wind_scenario,pv_scenario,daily_NH3_t,avg_rate_tph,curtail_MWh,unserved_base_MWh,max_curtail_MW,max_unserved_base_MW,rate_vector,curtail_vector,unserved_vector
W4P1,4,1,71.7766959325069,2.99069566385445,5678.16630615087,0,477.782900685367,0,3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 2.7767 3 3,60.73363 65.51747 58.20228 112.3317 105.294 134.0458 281.7641 354.0061 431.9442 477.7829 426.3066 435.8616 470.6166 472.2306 474.054 464.8668 341.9578 269.5789 161.9914 28.66309 24.25552 0 4.166461 21.99457,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
W4P2,4,2,71.7766959325069,2.99069566385445,3693.30387652264,0,324.83985159765,0,3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 2.7767 3 3,60.73363 65.51747 58.20228 112.3317 105.294 134.0458 173.6775 182.0502 230.5101 261.6098 215.0465 254.0796 313.3998 324.8399 316.8372 317.476 233.8713 156.5793 98.1221 28.66309 24.25552 0 4.166461 21.99457,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
W4P3,4,3,71.7766959325069,2.99069566385445,2420.83019020157,0,174.99830143228,0,3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 2.7767 3 3,60.73363 65.51747 58.20228 112.3317 105.294 134.0458 173.6775 167.3111 171.5538 163.3492 82.39483 101.7758 146.3569 147.9709 159.6204 174.9983 125.7847 107.4491 83.38302 28.66309 24.25552 0 4.166461 21.99457,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
W4P4,4,4,71.7766959325069,2.99069566385445,1924.61458279451,0,173.677550056228,0,3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 2.7767 3 3,60.73363 65.51747 58.20228 112.3317 105.294 134.0458 173.6775 157.4851 146.9887 124.045 23.43852 23.16742 77.57454 98.84066 110.4901 130.7811 86.4805 82.88393 73.55697 28.66309 24.25552 0 4.166461 21.99457,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
W5P1,5,1,72,3,5233.6418969909,0,487.110585622105,0,3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3,32.17667 61.03434 75.85847 59.70094 73.57427 66.76805 201.1291 225.5612 410.8182 468.6938 480.0429 487.1106 485.3864 486.5091 421.1162 364.2726 330.4736 206.3237 104.7547 42.17391 32.51554 26.11276 4.565644 86.96933,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
W5P2,5,2,72,3,3248.77946736267,0,339.118332875143,0,3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3,32.17667 61.03434 75.85847 59.70094 73.57427 66.76805 93.04251 53.60526 209.3841 252.5207 268.7827 305.3286 328.1696 339.1183 263.8993 216.8818 222.3871 93.32411 40.88535 42.17391 32.51554 26.11276 4.565644 86.96933,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
W5P3,5,3,72,3,1976.3057810416,0,162.24940350233,0,3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3,32.17667 61.03434 75.85847 59.70094 73.57427 66.76805 93.04251 38.86618 150.4278 154.2602 136.131 153.0248 161.1267 162.2494 106.6825 74.4041 114.3005 44.19385 26.14627 42.17391 32.51554 26.11276 4.565644 86.96933,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
W5P4,5,4,72,3,1480.09017363454,0,125.862681741262,0,3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3,32.17667 61.03434 75.85847 59.70094 73.57427 66.76805 93.04251 29.04013 125.8627 114.9559 77.17474 74.41642 92.34433 113.1191 57.55224 30.18687 74.99631 19.62872 16.32022 42.17391 32.51554 26.11276 4.565644 86.96933,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
W6P1,6,1,72,3,4437.88524686999,0,437.699335122507,0,3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3,29.65874 38.03524 48.19199 45.82164 42.99069 41.03607 146.5638 231.0269 313.6938 361.3749 403.6146 423.6404 437.6993 432.4351 399.4374 339.7996 261.3228 206.6001 127.2932 30.10629 9.086551 21.23044 15.95772 31.2679,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
W6P2,6,2,72,3,2453.02281724176,0,285.044342488768,0,3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3,29.65874 38.03524 48.19199 45.82164 42.99069 41.03607 38.47722 59.071 112.2597 145.2018 192.3545 241.8585 280.4825 285.0443 242.2206 192.4088 153.2362 93.60046 63.42385 30.10629 9.086551 21.23044 15.95772 31.2679,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
W6P3,6,3,72,3,1180.54913092069,0,113.439631272349,0,3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3,29.65874 38.03524 48.19199 45.82164 42.99069 41.03607 38.47722 44.33192 53.30343 46.94124 59.70279 89.55468 113.4396 108.1754 85.00377 49.93109 45.14968 44.47021 48.68478 30.10629 9.086551 21.23044 15.95772 31.2679,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
W6P4,6,4,72,3,684.333523513628,0,59.0451549568398,0,3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3,29.6587 38.0352 48.192 45.8216 42.9907 41.0361 38.4772 34.5059 28.7383 7.63704 0.746481 10.9463 44.6573 59.0452 35.8735 5.71386 5.84547 19.9051 38.8587 30.1063 9.08655 21.2304 15.9577 31.2679,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
