design_scenario_id,capacity_basis_method,wind_cap_MW,pv_cap_MW,E_cap_MWh,P_cap_MW,duration_h,daily_NH3_t,mean_daily_NH3_t,delta_NH3_t,mean_delta_NH3_t,worst_shortfall_t,worst_case_scenario_id,curtail_MWh,mean_curtail_MWh,curtail_reduction_MWh,storage_charge_MWh,storage_discharge_MWh,max_SOC_MWh,unserved_base_MWh,storage_daily_cost,storage_unit_cost_yuan_per_t,incremental_storage_cost_yuan_per_added_t
ALL_MINIMAX,minimax_daily_energy_fixed_ratio_storage_loss_margin,307.064113494467,491.302581591147,0,0,NaN,62.1777297014637,69.9056458197102,0,0,9.82227029853632,W2P4,5678.16630615087,2626.12549387485,0,0,0,0,0,0,0,NaN
ALL_MINIMAX,minimax_daily_energy_fixed_ratio_storage_loss_margin,307.064113494467,491.302581591147,10,2.5,4,63.4728876386411,70.1786084148587,1.29515793717745,0.272962595148471,8.52711236135887,W2P4,5663.50411954227,2613.60952562898,12.5159682458625,12.5159682458622,3.77598256622067,10,0,1951.64370072346,30.7476746896156,1506.87699523094
ALL_MINIMAX,minimax_daily_energy_fixed_ratio_storage_loss_margin,307.064113494467,491.302581591147,20,5,4,64.7223201386454,70.426642164185,2.5445904371817,0.520996344474838,7.27767986135463,W2P4,5651.19392629525,2601.51767174655,24.6078221282985,24.6078221282983,7.2071160985687,20,0,3899.04625781266,60.2426836593666,1532.28834033155
ALL_MINIMAX,minimax_daily_energy_fixed_ratio_storage_loss_margin,307.064113494467,491.302581591147,30,7.5,4,65.7313448903666,70.6575162343127,3.55361518890295,0.751870414602507,6.26865510963337,W2P4,5639.6107373064,2589.71616030146,36.409333573381,36.4093335733809,10.4008740686679,30,3.5527136788005e-15,5843.54539052833,88.9004386001045,1644.39453342507
ALL_MINIMAX,minimax_daily_energy_fixed_ratio_storage_loss_margin,307.064113494467,491.302581591147,40,10,4,66.5562491557237,70.8779846718758,4.37851945426004,0.972338852165592,5.44375084427628,W2P1,5628.02754831755,2578.04425870612,48.0812351687242,48.0812351687241,13.4506874549574,40,0,7786.7484247466,116.995000822954,1778.39758532317
ALL_MINIMAX,minimax_daily_energy_fixed_ratio_storage_loss_margin,307.064113494467,491.302581591147,50,12.5,4,67.2029703047516,71.0761329758302,5.02524060328794,1.17048715612005,4.79702969524838,W2P1,5616.4443593287,2566.49740943677,59.6280844380791,59.628084438079,16.191738992994,50,0,9728.70093570499,144.765936558865,1935.96719117084
ALL_MINIMAX,minimax_daily_energy_fixed_ratio_storage_loss_margin,307.064113494467,491.302581591147,60,15,4,67.8494671032199,71.2663591709004,5.67173740175619,1.36071335119021,4.15053289678013,W2P1,5604.86117033985,2554.95063647595,71.1748573988911,71.174857398891,18.8232013581312,60,3.5527136788005e-15,11670.6526835779,172.008022787022,2057.68565377591
ALL_MINIMAX,minimax_daily_energy_fixed_ratio_storage_loss_margin,307.064113494467,491.302581591147,70,17.5,4,68.4959639016881,71.4042291192395,6.31823420022442,1.4985832995293,3.5040360983119,W2P1,5593.277981351,2543.40417505548,82.7213188193676,82.7213188193674,20.7304023101552,70,3.5527136788005e-15,13612.6013160476,198.735816545127,2154.49457627956
ALL_MINIMAX,minimax_daily_energy_fixed_ratio_storage_loss_margin,307.064113494467,491.302581591147,80,20,4,69.142303060533,71.5237171767555,6.96457335906933,1.61807135704531,2.85769693946699,W2P1,5581.69479236215,2531.85780728896,94.2676865858831,94.2676865858831,22.3833204391269,80,7.105427357601e-15,15554.5490119776,224.964288481392,2233.38145928527
ALL_MINIMAX,minimax_daily_energy_fixed_ratio_storage_loss_margin,307.064113494467,491.302581591147,90,22.5,4,69.7885912027537,71.6314318671256,7.61086150129005,1.72578604741543,2.21140879724628,W2P1,5570.11168165575,2520.31145256952,105.814041305325,105.814041305325,23.8733736559135,90,7.105427357601e-15,17496.4965774368,250.707118110538,2298.88516227383
