scenario_id,wind_scenario,pv_scenario,daily_NH3_t,avg_rate_tph,curtail_MWh,unserved_base_MWh,max_curtail_MW,max_unserved_base_MW,rate_vector,curtail_vector,unserved_vector
W3P4,3,4,16.7103614457831,0.696265060240964,0,0,0,0,0.76151 0.88801 0.97361 1.0648 1.0054 0.85632 0.81917 0.67878 0.4845 0.55778 0.33859 0.48289 0.78594 1.1345 0.87426 0.86832 0.72101 0.66565 0.68978 0.51442 0.38805 0.33411 0.35364 0.46929,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
W4P1,4,1,46.4456385542169,1.93523493975904,173.706,0,23.0822,0,0.87659 0.93862 0.88859 1.3864 1.3081 1.5506 2.8869 3 3 3 3 3 3 3 3 3 3 2.732 1.7521 0.52744 0.50226 0.25921 0.33195 0.50485,0 0 0 0 0 0 0 7.0898 16.6862 22.492 15.8558 17.292 22.3762 23.0822 22.502 21.1398 5.19 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
W4P2,4,2,39.6075036144578,1.65031265060241,9.74020000000001,0,3.8822,0,0.87659 0.93862 0.88859 1.3864 1.3081 1.5506 1.8691 1.8932 2.3094 2.5903 2.1568 2.5382 3 3 3 3 2.3573 1.6679 1.1507 0.52744 0.50226 0.25921 0.33195 0.50485,0 0 0 0 0 0 0 0 0 0 0 0 1.8962 3.8822 2.022 1.9398 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
W4P3,4,3,28.3289638554217,1.1803734939759,4.44089209850063e-15,0,1.77635683940025e-15,0,0.87659 0.93862 0.88859 1.3864 1.3081 1.5506 1.8691 1.7544 1.7542 1.665 0.90765 1.104 1.5641 1.6151 1.6657 1.7985 1.3395 1.2052 1.0119 0.52744 0.50226 0.25921 0.33195 0.50485,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
W4P4,4,4,23.6561927710843,0.985674698795181,8.88178419700125e-16,0,8.88178419700125e-16,0,0.87659 0.93862 0.88859 1.3864 1.3081 1.5506 1.8691 1.6619 1.5229 1.2948 0.35247 0.36376 0.91635 1.1524 1.203 1.3822 0.9694 0.97389 0.91937 0.52744 0.50226 0.25921 0.33195 0.50485,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
W5P1,5,1,43.3775277108434,1.80739698795181,158.6442,0,24.9422,0,0.60768 0.8964 1.0549 0.89075 1.0094 0.91705 2.1276 2.303 3 3 3 3 3 3 3 3 3 2.1363 1.2132 0.65467 0.58005 0.5342 0.33571 1.1167,0 0 0 0 0 0 0 0 13.9342 21.308 22.8558 23.968 24.3002 24.9422 15.606 8.0358 3.694 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
W5P2,5,2,35.442621686747,1.47677590361446,9.85040000000001,0,5.7422,0,0.60768 0.8964 1.0549 0.89075 1.0094 0.91705 1.1098 0.6837 2.1104 2.5047 2.6628 3 3 3 2.6477 2.1929 2.2492 1.0722 0.61171 0.65467 0.58005 0.5342 0.33571 1.1167,0 0 0 0 0 0 0 0 0 0 0 0.288 3.8202 5.7422 0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
W5P3,5,3,24.1720481927711,1.0071686746988,1.77635683940025e-15,0,1.77635683940025e-15,0,0.60768 0.8964 1.0549 0.89075 1.0094 0.91705 1.1098 0.5449 1.5552 1.5794 1.4137 1.5866 1.7031 1.7496 1.1672 0.85126 1.2314 0.60956 0.47292 0.65467 0.58005 0.5342 0.33571 1.1167,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
W5P4,5,4,19.4992771084337,0.812469879518072,1.77635683940025e-15,0,1.77635683940025e-15,0,0.60768 0.8964 1.0549 0.89075 1.0094 0.91705 1.1098 0.45237 1.3239 1.2093 0.85849 0.84636 1.0554 1.2869 0.70453 0.43488 0.86125 0.37823 0.38039 0.65467 0.58005 0.5342 0.33571 1.1167,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
W6P1,6,1,40.7865397590362,1.69943915662651,90.8262,0,18.0882,0,0.58397 0.67982 0.79433 0.76005 0.72143 0.67473 1.6138 2.3544 3 3 3 3 3 3 3 3 2.6159 2.1389 1.4254 0.54103 0.35942 0.48823 0.44299 0.59218,0 0 0 0 0 0 0 0 1.2822 7.328 12.8998 15.7 18.0882 17.8982 12.782 4.8478 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
W6P2,6,2,28.6612048192771,1.19421686746988,8.88178419700125e-16,0,8.88178419700125e-16,0,0.58397 0.67982 0.79433 0.76005 0.72143 0.67473 0.59594 0.73517 1.1958 1.4941 1.9431 2.4231 2.8271 2.9059 2.4435 1.9625 1.598 1.0748 0.82395 0.54103 0.35942 0.48823 0.44299 0.59218,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
W6P3,6,3,16.6785542168675,0.694939759036144,1.77635683940025e-15,0,8.88178419700125e-16,0,0.58397 0.67982 0.79433 0.76005 0.72143 0.67473 0.59594 0.59637 0.64064 0.56877 0.69396 0.98892 1.2541 1.2404 0.96304 0.62081 0.58019 0.61216 0.68516 0.54103 0.35942 0.48823 0.44299 0.59218,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
W6P4,6,4,12.0057831325301,0.500240963855422,8.88178419700125e-16,0,8.88178419700125e-16,0,0.58397 0.67982 0.79433 0.76005 0.72143 0.67473 0.59594 0.50384 0.40932 0.19865 0.13878 0.24868 0.60638 0.7777 0.50039 0.20442 0.21007 0.38083 0.59263 0.54103 0.35942 0.48823 0.44299 0.59218,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
