scenario_id,offgrid_daily_NH3_t,offgrid_unit_cost,grid_connected_unit_cost,grid_support_value
W1P1,41.4844481927711,4099.08442357415,5384.42111666667,-1285.33669309252
W1P2,31.7372530120482,3867.15393772207,6757.00829583333,-2889.85435811126
W1P3,19.6931710843374,4201.00595492094,8117.71960277778,-3916.71364785684
W1P4,15.1098795180723,4456.08625451789,8666.229825,-4210.14357048211
W2P1,36.696,3995.96693591481,5790.27278333333,-1794.30584741852
W2P2,24.4828915662651,3887.65297306995,7320.09765833333,-3432.44468526338
W2P3,12.5155518072289,4421.07974417561,8724.73410277778,-4303.65435860216
W2P4,6.5485156626506,5745.48909145967,9273.244325,-3527.75523354033
W3P1,42.9218168674699,4084.32871281413,5236.67169305556,-1152.34298024142
W3P2,33.0964048192771,3863.31318522566,6618.55891388889,-2755.24572866323
W3P3,21.3831325301205,4134.60568712868,8001.225125,-3866.61943787132
W3P4,16.7103614457831,4360.25259092979,8549.73534722222,-4189.48275629243
W4P1,46.4864240963855,4209.05909445764,4890.30035277778,-681.241258320136
W4P2,39.6482891566265,3864.79125780386,6137.56940694445,-2272.77814914059
W4P3,28.3697493975904,4035.09977567994,7490.03288055556,-3454.93310487561
W4P4,23.696978313253,4174.59743365988,8038.54310277778,-3863.9456691179
W5P1,43.3775277108434,4192.35026805178,5132.53099861111,-940.180730559334
W5P2,35.442621686747,3882.00523089346,6405.10205277778,-2523.09682188431
W5P3,24.1720481927711,4089.38465892895,7751.66218055556,-3662.2775216266
W5P4,19.4992771084337,4271.9213647191,8300.17240277778,-4028.25103805868
W6P1,40.7865397590362,3971.49686530141,5467.44034583333,-1495.94348053192
W6P2,28.6612048192771,3861.57597420466,6991.011625,-3129.43565079534
W6P3,16.6785542168675,4245.1613019504,8395.64806944445,-4150.48676749404
W6P4,11.9051855421687,4627.05641271231,8944.15829166666,-4317.10187895435
