cluster_id,probability,expected_days,daily_NH3_t,unit_cost,R_self,R_green,R_sell,class,E_buy_MWh,E_sell_MWh,wind_mean_pu,pv_mean_pu
1,0.125,45,72,6281.5727787037,0.993394631496999,0.544192343604108,0.00660536850300119,全满足,481.661066666667,3.82373333333334,0.309447222222222,0.183472222222222
2,0.125,45,72,6462.97484768519,0.994740376169632,0.51870864562041,0.00525962383036797,全满足,508.5902,2.8982,0.302876388888889,0.169444444444444
3,0.125,45,72,6704.90566203704,1,0.48260024730613,0,全满足,546.746666666667,0,0.260111111111111,0.169444444444444
4,0.125,45,72,6858.71514722222,1,0.474994322053146,0,全满足,554.784,0,0.28685,0.1475
5,0.125,45,72,6984.90681388889,1,0.438119211648623,0,全满足,593.750666666667,0,0.211148611111111,0.169444444444444
6,0.125,45,72,7257.958425,1,0.406474121180004,0,全满足,627.190666666667,0,0.211426388888889,0.1475
7,0.125,45,72,7689.36594351852,1,0.38897973603856,0,全满足,645.677333333333,0,0.326836111111111,0.0633333333333333
8,0.125,45,72,7873.8317287037,1,0.342987104751811,0,全满足,694.278666666667,0,0.253765277777778,0.0773611111111111
