Q_day,annual_days,annual_total_NH3,annual_total_cost,annual_incremental_total_cost,annual_average_unit_cost,annual_average_incremental_unit_cost,days_all_pass,days_partial_pass,days_all_fail,best_or_not
72,360,25920,187358379.382335,173437180.462336,7228.33253789875,6691.24924623208,270,90,0,
63,360,22680,153094137.683836,139172938.763836,6750.18243755889,6136.37296136841,270,90,0,
54,360,19440,122765733.475336,108844534.555336,6315.10974667364,5598.99869111809,285,75,0,
45,360,16200,96517261.3513356,82596062.4313356,5957.85563897133,5098.52237230467,285,75,0,
36,360,12960,69209010.8203356,55287811.9003356,5340.20145218639,4266.03486885306,270,90,0,best_cost
