mode,scenario_id,Q_day,M_self,M_green,M_green_2030,M_sell,min_policy_margin,violation_score
discrete,W1P1,72,0.222354429980939,0.29281550458021,0.242815504580211,0.022354429980939,0.022354429980939,0
discrete,W1P1,63,0.214916955907604,0.365909763789663,0.315909763789663,0.0149169559076039,0.0149169559076039,0
discrete,W1P1,54,0.194776334927878,0.449556777100976,0.399556777100976,-0.00522366507212205,-0.00522366507212205,0.00522366507212205
discrete,W1P1,45,0.147493974511791,0.533427007406106,0.483427007406106,-0.052506025488209,-0.052506025488209,0.052506025488209
discrete,W1P1,36,0.0860786280265279,0.635405927835052,0.585405927835052,-0.113921371973472,-0.113921371973472,0.113921371973472
discrete,W1P2,72,0.385194473811814,0.169143954879249,0.119143954879249,0.185194473811814,0.169143954879249,0
discrete,W1P2,63,0.373935421816997,0.225721610778572,0.175721610778572,0.173935421816997,0.173935421816997,0
discrete,W1P2,54,0.346204720153258,0.289479027385728,0.239479027385728,0.146204720153258,0.146204720153258,0
discrete,W1P2,45,0.295850986876098,0.359810602734112,0.309810602734112,0.095850986876098,0.095850986876098,0
discrete,W1P2,36,0.218232366992313,0.436930483963345,0.386930483963345,0.0182323669923133,0.0182323669923133,0
discrete,W1P3,72,0.4,0.01933151639034,-0.03066848360966,0.2,0.01933151639034,0
discrete,W1P3,63,0.383210251182418,0.0559013966660231,0.00590139666602313,0.183210251182418,0.0559013966660231,0
discrete,W1P3,54,0.347547444909378,0.0958601990788888,0.0458601990788888,0.147547444909378,0.0958601990788888,0
discrete,W1P3,45,0.282416045329003,0.135827405520916,0.0858274055209158,0.0824160453290028,0.0824160453290028,0
discrete,W1P3,36,0.182831521674708,0.172798181557847,0.122798181557847,-0.0171684783252924,-0.0171684783252924,0.0171684783252924
discrete,W1P4,72,0.4,-0.0418388977212507,-0.0918388977212506,0.2,-0.0418388977212507,0.0418388977212507
discrete,W1P4,63,0.379231976070732,-0.0134384587329172,-0.0634384587329171,0.179231976070732,-0.0134384587329172,0.0134384587329172
discrete,W1P4,54,0.341914341431944,0.0181275689595404,-0.0318724310404596,0.141914341431944,0.0181275689595404,0
discrete,W1P4,45,0.285859444876175,0.0537162261057932,0.0037162261057932,0.0858594448761749,0.0537162261057932,0
discrete,W1P4,36,0.201148077007669,0.0911733963344789,0.0411733963344789,0.00114807700766853,0.00114807700766853,0
discrete,W2P1,72,0.263998397338611,0.238734953440836,0.188734953440836,0.0639983973386108,0.0639983973386108,0
discrete,W2P1,63,0.262432160071877,0.309577138443715,0.259577138443715,0.062432160071877,0.062432160071877,0
discrete,W2P1,54,0.249759297257264,0.393197890358045,0.343197890358045,0.0497592972572636,0.0497592972572636,0
discrete,W2P1,45,0.21338040139383,0.484431954568075,0.434431954568075,0.0133804013938298,0.0133804013938298,0
discrete,W2P1,36,0.163000072848245,0.599813502290951,0.549813502290951,-0.036999927151755,-0.036999927151755,0.036999927151755
discrete,W2P2,72,0.4,0.0788553259141495,0.0288553259141495,0.2,0.0788553259141495,0
discrete,W2P2,63,0.397422216893472,0.128345240393898,0.0783452403938985,0.197422216893472,0.128345240393898,0
discrete,W2P2,54,0.376564654397218,0.184031347496657,0.134031347496657,0.176564654397218,0.176564654397218,0
discrete,W2P2,45,0.324404512119577,0.241670033078657,0.191670033078657,0.124404512119577,0.124404512119577,0
discrete,W2P2,36,0.264356653278181,0.31934421534937,0.26934421534937,0.0643566532781808,0.0643566532781808,0
discrete,W2P3,72,0.4,-0.0780074191838898,-0.12800741918389,0.2,-0.0780074191838898,0.0780074191838898
discrete,W2P3,63,0.39560072298196,-0.049466864044968,-0.099466864044968,0.19560072298196,-0.049466864044968,0.049466864044968
discrete,W2P3,54,0.36002199638509,-0.0211833308572277,-0.0711833308572277,0.16002199638509,-0.0211833308572277,0.0211833308572277
discrete,W2P3,45,0.298577055553661,0.00852697520564388,-0.0414730247943561,0.0985770555536609,0.00852697520564388,0
discrete,W2P3,36,0.217207482181223,0.0431124713631157,-0.0068875286368843,0.0172074821812229,0.0172074821812229,0
discrete,W2P4,72,0.4,-0.13917783329548,-0.18917783329548,0.2,-0.13917783329548,0.13917783329548
discrete,W2P4,63,0.393927411382573,-0.118806719443908,-0.168806719443908,0.193927411382573,-0.118806719443908,0.118806719443908
discrete,W2P4,54,0.378545873934943,-0.0941142970336254,-0.144114297033625,0.178545873934943,-0.0941142970336254,0.0941142970336254
discrete,W2P4,45,0.343180106387987,-0.0653935774713855,-0.115393577471385,0.143180106387987,-0.0653935774713855,0.0653935774713855
discrete,W2P4,36,0.288303205761898,-0.0298077749140893,-0.0798077749140893,0.088303205761898,-0.0298077749140893,0.0298077749140893
discrete,W3P1,72,0.238163772347728,0.319342683019153,0.269342683019153,0.0381637723477281,0.0381637723477281,0
discrete,W3P1,63,0.219105066338815,0.386093411426487,0.336093411426487,0.0191050663388146,0.0191050663388146,0
discrete,W3P1,54,0.188186824445469,0.461956866240776,0.411956866240776,-0.0118131755545311,-0.0118131755545311,0.0118131755545311
discrete,W3P1,45,0.140035858818708,0.545773835660548,0.495773835660548,-0.059964141181292,-0.059964141181292,0.059964141181292
discrete,W3P1,36,0.0763867117463244,0.645285294959908,0.595285294959908,-0.123613288253676,-0.123613288253676,0.123613288253676
discrete,W3P2,72,0.392865129815425,0.19071996366114,0.14071996366114,0.192865129815425,0.19071996366114,0
discrete,W3P2,63,0.364371218503485,0.240292849327412,0.190292849327412,0.164371218503485,0.164371218503485,0
discrete,W3P2,54,0.318146588037068,0.293682959441391,0.243682959441391,0.118146588037068,0.118146588037068,0
discrete,W3P2,45,0.25024852569503,0.349963115833846,0.299963115833846,0.0502485256950295,0.0502485256950295,0
discrete,W3P2,36,0.175958872635368,0.425350443871707,0.375350443871707,-0.024041127364632,-0.024041127364632,0.024041127364632
discrete,W3P3,72,0.4,0.0373836020894844,-0.0126163979105156,0.2,0.0373836020894844,0
discrete,W3P3,63,0.358258162234938,0.0664780845723112,0.0164780845723113,0.158258162234938,0.0664780845723112,0
discrete,W3P3,54,0.292314596656569,0.0938592581587679,0.043859258158768,0.092314596656569,0.092314596656569,0
discrete,W3P3,45,0.202485134073825,0.118755305758028,0.0687553057580282,0.00248513407382472,0.00248513407382472,0
discrete,W3P3,36,0.103018624481095,0.148597150630011,0.0985971506300115,-0.096981375518905,-0.096981375518905,0.096981375518905
discrete,W3P4,72,0.4,-0.0237868120221061,-0.0737868120221061,0.2,-0.0237868120221061,0.0237868120221061
discrete,W3P4,63,0.351358092366726,-0.00212782390422855,-0.0521278239042285,0.151358092366726,-0.00212782390422855,0.00212782390422855
discrete,W3P4,54,0.287839523091682,0.0208322190858219,-0.029167780914178,0.0878395230916815,0.0208322190858219,0
discrete,W3P4,45,0.214061258051254,0.0477769971605048,-0.00222300283949523,0.0140612580512539,0.0140612580512539,0
discrete,W3P4,36,0.117651774701932,0.0749072880870563,0.0249072880870563,-0.0823482252980676,-0.0823482252980676,0.0823482252980676
discrete,W4P1,72,0.201914419037454,0.365472405178288,0.315472405178288,0.00191441903745371,0.00191441903745371,0
discrete,W4P1,63,0.184665717895736,0.438122117096823,0.388122117096823,-0.0153342821042644,-0.0153342821042644,0.0153342821042644
discrete,W4P1,54,0.154553416259562,0.519202198781757,0.469202198781757,-0.0454465837404381,-0.0454465837404381,0.0454465837404381
discrete,W4P1,45,0.105093942006377,0.604999560902785,0.554999560902785,-0.094906057993623,-0.094906057993623,0.094906057993623
discrete,W4P1,36,0.0311242479393883,0.690564146620848,0.640564146620848,-0.168875752060612,-0.168875752060612,0.168875752060612
discrete,W4P2,72,0.384248436196156,0.275955598455599,0.225955598455599,0.184248436196156,0.184248436196156,0
discrete,W4P2,63,0.359787439113532,0.336650146961018,0.286650146961018,0.159787439113532,0.159787439113532,0
discrete,W4P2,54,0.317084112270443,0.402089585499926,0.352089585499926,0.117084112270443,0.117084112270443,0
discrete,W4P2,45,0.250465745095122,0.469733614355552,0.419733614355552,0.050465745095122,0.050465745095122,0
discrete,W4P2,36,0.155499673331565,0.53615012886598,0.48615012886598,-0.0445003266684348,-0.0445003266684348,0.0445003266684348
discrete,W4P3,72,0.4,0.128310243016125,0.0783102430161254,0.2,0.128310243016125,0
discrete,W4P3,63,0.36658049862573,0.169286434532621,0.119286434532621,0.16658049862573,0.16658049862573,0
discrete,W4P3,54,0.308237664713524,0.208928836725598,0.158928836725598,0.108237664713524,0.108237664713524,0
discrete,W4P3,45,0.224649804243887,0.246295190421826,0.196295190421826,0.0246498042438865,0.0246498042438865,0
discrete,W4P3,36,0.123143410133362,0.285798969072165,0.235798969072165,-0.0768565898666383,-0.0768565898666383,0.0768565898666383
discrete,W4P4,72,0.4,0.0671398289045347,0.0171398289045347,0.2,0.0671398289045347,0
discrete,W4P4,63,0.36635357919807,0.102169444980799,0.0521694449807986,0.16635357919807,0.102169444980799,0
discrete,W4P4,54,0.31747327071584,0.140680681424256,0.090680681424256,0.11747327071584,0.11747327071584,0
discrete,W4P4,45,0.235727026218928,0.174564561927344,0.124564561927344,0.0357270262189275,0.0357270262189275,0
discrete,W4P4,36,0.136804445773319,0.211622279495991,0.161622279495991,-0.0631955542266809,-0.0631955542266809,0.0631955542266809
discrete,W5P1,72,0.206394522955261,0.325308312514195,0.275308312514195,0.00639452295526102,0.00639452295526102,0
discrete,W5P1,63,0.181916477508482,0.38730342622986,0.33730342622986,-0.0180835224915184,-0.0180835224915184,0.0180835224915184
discrete,W5P1,54,0.145568328817944,0.456368048333581,0.406368048333581,-0.0544316711820556,-0.0544316711820556,0.0544316711820556
discrete,W5P1,45,0.0979129140123502,0.537041948420714,0.487041948420714,-0.10208708598765,-0.10208708598765,0.10208708598765
discrete,W5P1,36,0.040772497620268,0.63975837628866,0.58975837628866,-0.159227502379732,-0.159227502379732,0.159227502379732
discrete,W5P2,72,0.382436971793317,0.221433870845636,0.171433870845636,0.182436971793317,0.182436971793317,0
discrete,W5P2,63,0.346674392896623,0.26955632790543,0.21955632790543,0.146674392896623,0.146674392896623,0
discrete,W5P2,54,0.300451806154834,0.325250581884812,0.275250581884812,0.100451806154834,0.100451806154834,0
discrete,W5P2,45,0.239509681560461,0.389159275196862,0.339159275196862,0.0395096815604607,0.0395096815604607,0
discrete,W5P2,36,0.165976536033948,0.468910366552119,0.418910366552119,-0.0340234639660521,-0.0340234639660521,0.0340234639660521
discrete,W5P3,72,0.4,0.0738928003633886,0.0238928003633886,0.2,0.0738928003633886,0
discrete,W5P3,63,0.352984560870666,0.103900581407822,0.0539005814078222,0.152984560870666,0.103900581407822,0
discrete,W5P3,54,0.2922556314857,0.136450997870549,0.0864509978705493,0.0922556314856998,0.0922556314856998,0
