scenario_id,capacity_basis_method,wind_cap_MW,pv_cap_MW,E_cap_MWh,P_cap_MW,daily_NH3_t,avg_rate_tph,shortfall_to_72_t,curtail_MWh,unserved_base_MWh,storage_charge_MWh,storage_discharge_MWh,storage_recovered_MWh,delta_NH3_t,curtail_reduction_MWh,max_SOC_MWh,daily_total_cost,offgrid_unit_cost
W1P1,minimax_daily_energy_fixed_ratio_storage_loss_margin,307.064113494467,491.302581591147,130,32.5,72,3,0,4695.03601399392,0,149.423900181557,53.4202303754962,53.4202303754962,3.86170340063829,149.423900181558,130,908439.098558166,12617.2097021968
W1P2,minimax_daily_energy_fixed_ratio_storage_loss_margin,307.064113494467,491.302581591147,130,32.5,72,3,0,2710.17358436568,0,149.423900181557,53.4202303754962,53.4202303754962,3.86170340063829,149.423900181556,130,670255.607002778,9309.10565281636
W1P3,minimax_daily_energy_fixed_ratio_storage_loss_margin,307.064113494467,491.302581591147,130,32.5,72,3,0,1437.69989804461,0,149.423900181557,53.4202303754962,53.4202303754962,3.86170340063829,149.423900181557,130,517558.764644249,7188.31617561457
W1P4,minimax_daily_energy_fixed_ratio_storage_loss_margin,307.064113494467,491.302581591147,130,32.5,72,3,0,941.484290637555,0,149.423900181557,53.4202303754962,53.4202303754962,3.86170340063829,149.423900181557,130,458012.891755402,6361.29016326948
W2P1,minimax_daily_energy_fixed_ratio_storage_loss_margin,307.064113494467,491.302581591147,130,32.5,71.8487938027999,2.99369974178333,0.151206197200111,3963.80881703986,0,148.753421850167,109.04623721313,109.04623721313,7.88286052143107,148.753421850168,130,789737.927062335,10991.6657644928
W2P2,minimax_daily_energy_fixed_ratio_storage_loss_margin,307.064113494467,491.302581591147,130,32.5,71.8487938027999,2.99369974178333,0.151206197200111,1978.94638741162,0,148.753421850167,109.04623721313,109.04623721313,7.88286052143107,148.753421850167,130,551554.435506947,7676.59979123342
W2P3,minimax_daily_energy_fixed_ratio_storage_loss_margin,307.064113494467,491.302581591147,130,32.5,71.8487938027999,2.99369974178333,0.151206197200111,706.472701090549,0,148.753421850167,109.04623721313,109.04623721313,7.88286052143107,148.753421850167,130,398857.593148418,5551.34710045578
W2P4,minimax_daily_energy_fixed_ratio_storage_loss_margin,307.064113494467,491.302581591147,130,32.5,71.8487938027999,2.99369974178333,0.151206197200111,204.652190887361,0,179.095140834984,133.783053401818,133.783053401818,9.67106410133621,179.095140834984,130,339615.137449419,4726.80360343342
W3P1,minimax_daily_energy_fixed_ratio_storage_loss_margin,307.064113494467,491.302581591147,130,32.5,72,3,0,4786.89652489268,0,150.582034632813,0,0,0,150.582034632813,130,930416.511261505,12922.4515452987
W3P2,minimax_daily_energy_fixed_ratio_storage_loss_margin,307.064113494467,491.302581591147,130,32.5,72,3,0,2802.03409526444,0,150.582034632813,0,0,0,150.582034632814,130,692233.019706117,9614.3474959183
W3P3,minimax_daily_energy_fixed_ratio_storage_loss_margin,307.064113494467,491.302581591147,130,32.5,72,3,0,1529.56040894337,0,150.582034632813,0,0,0,150.582034632814,130,539536.177347589,7493.55801871651
W3P4,minimax_daily_energy_fixed_ratio_storage_loss_margin,307.064113494467,491.302581591147,130,32.5,72,3,0,1033.34480153631,0,150.582034632813,0,0,0,150.582034632814,130,479990.304458742,6666.53200637141
W4P1,minimax_daily_energy_fixed_ratio_storage_loss_margin,307.064113494467,491.302581591147,130,32.5,72,3,0,5523.77928090035,0,154.387025250518,3.0890396003215,3.0890396003215,0.223304067493117,154.387025250518,130,1041094.36722144,14459.6439891867
W4P2,minimax_daily_energy_fixed_ratio_storage_loss_margin,307.064113494467,491.302581591147,130,32.5,72,3,0,3538.91685127212,0,154.387025250518,3.0890396003215,3.0890396003215,0.223304067493117,154.387025250518,130,802910.875666053,11151.5399398063
W4P3,minimax_daily_energy_fixed_ratio_storage_loss_margin,307.064113494467,491.302581591147,130,32.5,72,3,0,2266.44316495105,0,154.387025250518,3.0890396003215,3.0890396003215,0.223304067493117,154.387025250518,130,650214.033307525,9030.75046260451
W4P4,minimax_daily_energy_fixed_ratio_storage_loss_margin,307.064113494467,491.302581591147,130,32.5,72,3,0,1770.22755754399,0,154.387025250518,3.0890396003215,3.0890396003215,0.223304067493117,154.387025250518,130,590668.160418678,8203.72445025941
W5P1,minimax_daily_energy_fixed_ratio_storage_loss_margin,307.064113494467,491.302581591147,130,32.5,72,3,0,5083.06244125379,0,150.579455737112,0,0,0,150.579455737112,130,974840.98609236,13539.4581401717
W5P2,minimax_daily_energy_fixed_ratio_storage_loss_margin,307.064113494467,491.302581591147,130,32.5,72,3,0,3098.20001162556,0,150.579455737112,0,0,0,150.579455737114,130,736657.494536972,10231.3540907913
W5P3,minimax_daily_energy_fixed_ratio_storage_loss_margin,307.064113494467,491.302581591147,130,32.5,72,3,0,1825.72632530449,0,150.579455737112,0,0,0,150.579455737112,130,583960.652178444,8110.56461358949
W5P4,minimax_daily_energy_fixed_ratio_storage_loss_margin,307.064113494467,491.302581591147,130,32.5,72,3,0,1329.51071789743,0,150.579455737112,0,0,0,150.579455737112,130,524414.779289597,7283.5386012444
W6P1,minimax_daily_energy_fixed_ratio_storage_loss_margin,307.064113494467,491.302581591147,130,32.5,72,3,0,4287.32587418904,0,150.559372680951,0,0,0,150.559372680951,130,855477.287743662,11881.6289964398
W6P2,minimax_daily_energy_fixed_ratio_storage_loss_margin,307.064113494467,491.302581591147,130,32.5,72,3,0,2302.46344456081,0,150.559372680951,0,0,0,150.559372680951,130,617293.796188274,8573.52494705936
W6P3,minimax_daily_energy_fixed_ratio_storage_loss_margin,307.064113494467,491.302581591147,130,32.5,72,3,0,1029.98975823974,0,150.559372680951,0,0,0,150.559372680951,130,464596.953829745,6452.73546985758
W6P4,minimax_daily_energy_fixed_ratio_storage_loss_margin,307.064113494467,491.302581591147,130,32.5,72,3,0,533.774150832677,0,150.559372680951,0,0,0,150.559372680951,130,405051.080940898,5625.70945751248
