scenario_id,offgrid_daily_NH3_t,offgrid_unit_cost,grid_connected_unit_cost,grid_support_value
W1P1,42.0931630397378,4143.31940280731,5430.08321712328,-1286.76381431597
W1P2,32.1833457831325,3938.82131117383,6802.67039628995,-2863.84908511612
W1P3,20.5931710843374,4249.93799502885,8163.3817032344,-3913.44370820554
W1P4,16.0098795180723,4504.68709520082,8711.89192545662,-4207.2048302558
W2P1,38.4381686746988,3977.31389671625,5835.93488378995,-1858.6209870737
W2P2,25.6828915662651,3911.93714152441,7365.75975878995,-3453.82261726554
W2P3,13.7155518072289,4419.88223784376,8770.39620323439,-4350.51396539063
W2P4,10.1485156626506,4622.9121673972,9318.90642545661,-4695.99425805942
W3P1,43.5693958360586,4125.11272521734,5282.33379351217,-1157.22106829483
W3P2,33.2478747159562,3952.19396051769,6664.2210143455,-2712.02705382781
W3P3,21.3831325301205,4288.35637020777,8046.88722545661,-3758.53085524885
W3P4,16.7103614457831,4556.99706252866,8595.39744767884,-4038.40038515018
W4P1,47.1340030649743,4245.04750798625,4935.96245323439,-690.914945248141
W4P2,40.1343607079772,3920.74691152449,6183.23150740106,-2262.48459587657
W4P3,28.3697493975904,4150.9862851729,7535.69498101217,-3384.70869583927
W4P4,23.696978313253,4313.33542756849,8084.20520323439,-3770.8697756659
W5P1,44.0251066794321,4231.12335682083,5178.19309906773,-947.069742246893
W5P2,35.7510218121729,3954.8638181422,6450.76415323439,-2495.90033509219
W5P3,24.1720481927711,4225.39593967181,7797.32428101217,-3571.92834134037
W5P4,19.4992771084337,4440.52613989073,8345.8345032344,-3905.30836334367
W6P1,41.4341187276249,4016.14511597238,5513.10244628995,-1496.95733031757
W6P2,28.6612048192771,3976.2840352791,7036.67372545662,-3060.38969017751
W6P3,16.6785542168675,4442.28097971911,8441.31016990106,-3999.02919018195
W6P4,12.5051855421687,4747.96924364557,8989.82039212328,-4241.85114847771
